Subject,Description
Advanced Algorithms,"Unit – I 8 Hours
Review of Analysis Techniques: Standard notations and common functions; Recurrences and Solution of
Recurrence equations- The substitution method, The recurrence – tree method, The master method; Amortized
Analysis: Aggregate, Counting and Potential method.
Unit – II 8 Hours
Graph Algorithms: Johnson‘s Algorithm for sparse graphs; Detecting Negative Cycle-Floyd Warshal
Algorithm. Single source shortest path in DAG. Flow networks and Ford-Fulkerson method. Graph coloring
Algorithm.
Unit – III 8 Hours
Number-Theoretic Algorithms: Theoretic Algorithms: Elementary notions; GCD, Extended Euclid;
Solving modular linear equations; Powers of an element; Modular Inverse, Chinese Remainder theorem,
Fermat‘s theorem, Miller-Rabin for primality test. RSA cryptosystem.
Unit – IV 8 Hours
String-Matching Algorithms: Naïve string Matching; Rabin - Karp algorithm; String matching with finite
automata and its time complexity; Knuth-Morris-Prat Algorithm and its time complexity, Boyer – Moore
algorithms.
Unit – V 8 Hours
Probabilistic and Randomized Algorithms: Deterministic and Non-deterministic algorithms, Concept of NP-
Hard and NP-Complete. TSP example. Probabilistic algorithms; Randomizing deterministic algorithms, Monte
Carlo and Las Vegas algorithms."
Data Warehousing and Data Mining,"Unit – I 8 Hours
Data Mining: Introduction, What is Data Mining?, Data Mining – on what kind of Data? Data Mining
Functionalities-What kinds of patterns can be mined?, Classification of Data mining systems, Major
issues in Data Mining.
Unit – II 8 Hours
Data Warehouse and OLAP Technology: What is Data Warehouse? A multidimensional Data
model, Data Warehouse architecture. From data warehouse to Data mining.
Self-learning topics: Weka tool
Unit – III 8 Hours
Data Pre-Processing: Why preprocess the data? Data Cleaning, Data Integration and transformation,
Data reduction.
Self-learning topics: Weka tool
Unit – IV 8 Hours
Classification and Prediction: What is Classification and Prediction? Issues regarding classification
and prediction. Classification by Decision Tree Induction. Bayesian Classification. Backpropagation.
Self learning topics: Weka tool for Analysis
Unit – V 8 Hours
Cluster Analysis: What is cluster Analysis? Types of data in cluster analysis, Categarization of
major clustering methods. Partitioning methods."
NoSQL,"Unit – I 08 Hours
Why NoSQL? Aggregate Data Models, More Details on Data Models, Distribution Models,
Consistency, Version Stamps, Map-Reduce.
Unit – II 08 Hours
Implement: Key-Value Databases, Document Databases, Column-Family Stores, Graph Databases,
Choosing Your Database.
Unit – III 08 Hours
MongoDB: Introduction, Creating, Updating, and Deleting Documents, Querying
Unit – IV 08 Hours
Introduction to Cassandra: The Cassandra Data Model, Reading and Writing Data: Query Basic write
properties, basic read properties, Deleting.
Unit – V 08 Hours
Redis: Getting to know Redis: What is redis? , What does Redis data structures look like, Anatomy of
Redis Web Application, Commands in Redis, Building a simple social network."
Enterprise Resource Planning,"Unit – I 08 Hours
Introduction to ERP: Overview, Business Processes, Introduction to ERP, Benefits of ERP, ERP and
Related Technologies, Business Process Reengineering, Data Warehousing, Data Mining, On–line
Analytical Processing, Supply Chain Management.
Unit – II 08Hours
ERP Implementation: Implementation Life Cycle, Implementation Methodologies, Hidden Costs,
Vendors and Consultants, Contracts with Vendors, Consultants, and Employees, Project Management
and Monitoring.
Unit – III 08 Hours
Business Modules: Business Modules in an ERP Package, Financials, Manufacturing, Human Resource
Management, Plant Maintenance, Materials Management, Quality Management, Sales, Distribution, and
Service.
Unit – IV 08 Hours
ERP Market Dynamics: ERP Market Place and marketplace dynamics, ERP Vendors.
Two case studies such as Data Span, LG Electronics, Tata Motors.
Self learning topics: System Software Associates
Unit – V 08 Hours
ERP –Present and Future: Turbo Charge the ERP System, EIA, ERP and E–Business, ERP,Internet,and
www-ERP II ,ERP and Total Quality Management.
Self learning topics: Future Directions and trends in ERP, Working of GOOGLE search engine."
Project Management,"UNIT I 8 hours
Introduction to software project management: Introduction ,why is software project management important,
what is project, software projects versus other types of project, contract management and technical project
management, Activities covered by software project management, plans methods and methodologies some ways
of categorizing software projects, stakeholders, selling objectives, the business case, project success and failure,
what is management, management control, traditional versus modern project management practices
Project Evaluation and Programme Management: Introduction, A business case, project portfolio
management, evaluation of individual projects. Cost benefit evaluation technique, risk evaluation, programme
management, managing the allocation of resources within programme, strategic programme management,
creating a programme, aids to programme management, some reservations about programme management,
benefit management
UNIT II 8 hours
Risk Management: Introduction, Risk, categories of risk, A framework for dealing with risk, risk identification,
risk Assessment, Risk planning, Risk management, Evaluating risks to the schedule, Applying the PERT
technique, Monte carlo simulation, critical chain concepts.
Resource Allocation: Introduction, The Nature of resources, Identifying Resource Requirements, scheduling
Resources, Creating critical paths, counting the cost, being specific, publishing the resource schedule, cost
schedules, The Scheduling sequence.
UNIT III 8 Hours
Monitoring and control: Introduction, Creating the framework, collecting the data, review, Project termination
review, visualising progress, cost monitoring, earned value analysis, Prioritizing monitoring, Getting the project
back to target, change control, software configuration management(SCM).
Managing Contracts: Introduction, types of contracts, stages in Contract placement, typical terms of a contract,
Contract management, Acceptance.
UNIT IV 8 Hours
Managing people in software environment: Introduction, Understanding Behaviour, Organizational Behaviour:
A background, selecting the right person for job, instruction in the best methods, motivation, The Oldham-
Hackman job characteristics model, stress, Health and safety, Some ethical and professional concerns
Working in teams: Introduction, Becoming a team, decision making, organization and team structures,
Coordination Dependencies, Dispersed and virtual Teams, Communication Genres, Communication Plans,
Leadership
UNIT V 8 hours
Software Quality: Introduction, the place of software quality in project planning, the importance of software
quality, defining software quality, ISO 9126, product and process metrics, product versus process quality
management, quality management systems, process capability models, techniques to help enhance software
quality, testing, software reliability, quality plans"
Principles of Cyber Security,"Unit – I 8 Hours
Ethical Hacking: Overview of Ethics, Overview of Ethical Hacking, Methodology of Ethical Hacking,
Networking
Foundations: Communications Models, Topologies, Physical Networking, IP, TCP, UDP, Internet
Control Message Protocol, Network Architectures, Cloud Computing,
Unit – II 8 Hours
Security Foundations: The Triad, Risk, Policies, Standards, and Procedures, Security Technology,
Being Prepared;
Footprinting and Reconnaissance: Open-Source Intelligence, Domain Name System, Passive
Reconnaissance, Website Intelligence, Technology Intelligence,
Unit – III 8 Hours
Scanning Networks: Ping Sweeps, Port Scanning, Vulnerability Scanning
Enumeration: Service Enumeration, Remote Procedure Calls, Server Message Block, Web-Based
Enumeration
Unit – IV 8 Hours
System Hacking: Searching for Exploits, System Compromise, Gathering Passwords, Password
Cracking, Client-Side Vulnerabilities, Post Exploitation
Malware: Malware Types, Malware Analysis, Antivirus Solutions, Spoofing Attacks
Subject Code: 18CS564 Credits: 3
Course Type: OE CIE Marks: 50
Hours/week: L – T – P 3 – 0 – 0 SEE Marks: 50
Total Hours: 40 SEE
Duration:
3 Hours
Unit – V 8 Hours
Social Engineering: Social Engineering, Physical Social Engineering, Phishing Attacks, Website
Attacks
Cryptography: Basic Encryption, Symmetric Key Cryptography, Asymmetric Key Cryptography,"
Object Oriented Programming Using C++,"Unit– I 8 Hours
Beginning with C++ and its features: What is C++?, Applications and structure of C++ program,
Different Data types, Variables, Different Operators, expressions, operator overloading and control
structures in C++.
Unit – II 8 Hours
Functions, classes and Objects: Functions, Inline function, function overloading, friend and virtual
functions, Specifying a class, C++ program with a class, memory allocation to objects, array of objects.
Unit – III 8 Hours
Constructors, Destructors and Operator overloading: Constructors, Multiple constructors in a class, Copy
constructor, Dynamic constructor, Destructors, Overloading Unary and binary operators.
Unit– IV 8 Hours
Inheritance, Pointers, Virtual Functions, Polymorphism: Derived Classes, Single, multilevel, multiple
inheritance, Pointers to objects and derived classes, this pointer, Virtual and pure virtual functions.
Unit– V 8 Hours
Templates & Standard Template Library (STL): Introduction, Need and Use of Templates, Function templates
and Class templates; STL: Introduction, Containers, Algorithms and Iterators."
"Artificial Intelligence and Machine Learning
","Unit – I 10 Hours
Introduction to Artificial Intelligence: Introduction, what is AI, Strong Methods and weak
Methods. Uses and Limitations:
Knowledge Representation: Need for good representation, semantic nets, Frames, , Search Spaces,
Semantics Tress, Search Trees, Combinatorial Explosion, Problem reduction, Goal Trees,
Combinatorial Explosion
Self-learning topics: Inheritance, Object oriented programming
Unit – II 10 Hours
Search Methodologies: Introduction, Problem solving as search, Data driven or goal driven search,
Generate and test, Properties of search methods, Depth First Iterative Deepening, Using Heuristics
for Search, Hill Climbing, Best-First Search, Identifying Optimal Paths, Constraint Satisfaction
search, Forward Checking, Local Search and Meta heuristics, Simulated Annealing. Genetic
Algorithms for search, Real time A*, Bidirectional search, Nondeterministic search, non-
chronological backtracking
Self-learning topics: Depth First Search, Breadth First Search, Implementing Depth-First and
Breadth-First Search
Unit – III 10 Hours
Game Playing: Game Trees, Minimax, Alpha beta pruning
Prepositional and Predicate Logic: Introduction, what is Logic, Why Logic is used in Artificial
Intelligence, Logical Operators, translating between English and Logic Notation, The deduction
Theorem, Soundness, Completeness, Decidability, Monotonicity, Abduction and Inductive reasoning,
Modal logics and possible worlds, Dealing with change.
Inference and Resolution for Problem Solving: Introduction, Resolution in prepositional logic:
Applications of Resolution, Resolution in Predicate Logic, Normal forms for predicate logic,
Skolemization, Resolution Algorithms, Resolution for problem solving,
Self-learning topics: Truth Tables: Not, And, Or, Implies, if, Complex Truth Tables, Tautology,
Equivalence
Unit – IV 10 Hours
Introduction to Machine Learning: Introduction, Training Rote Learning, Learning Concepts,
General-to-Specific Ordering, Version Spaces, Candidate Elimination, Inductive Bias, Decision-
Tree Induction, The Problem of Overfitting, The Nearest Neighbor Algorithm, Backpropagation
algorithms, Reinforcement Learning.
Neural Networks: Introduction, Neurons, Perceptrons, Multilayer Neural Networks, Recurrent
Networks, Unsupervised Learning Networks, Evolving Neural Networks.
Self-learning topics: Supervised Learning, Unsupervised Learning
Unit – V 10 Hours
Probabilistic Reasoning and Bayesian Belief Networks: Introduction, Probabilistic Reasoning,
Joint Probability Distributions, Bayes’ Theorem, Simple Bayesian Concept Learning, Bayesian
Belief Networks, The Noisy-V Function, Bayes’ Optimal Classifier, The Naïve Bayes Classifier
Self-learning topics: Collaborative Filtering"
"Compiler Design
","nit – I 10 Hours
Introduction and Lexical Analysis:
Introduction: Language Processor, Structure of Compiler: Lexical Analysis, Syntax Analysis,
Semantic Analysis, Intermediate Code Generation, Code Optimization, Code Generation, Symbol-Table
Management, The Grouping of Phases into Passes, Compiler-Construction Tools
Lexical Analysis: The Role of Lexical Analyzer: Lexical Analysis Versus Parsing, Tokens, Patterns,
and Lexemes, Attributes for Tokens, Lexical Errors; Input Buffering: Buffer pairs, Sentinels;
Specification of Tokens: Strings and Languages, Operations on Languages, Regular Expressions,
Regular Definitions, Extensions of Regular Expressions; Recognition of Tokens: Transition Diagrams,
Recognition of Reserved Words and Identifiers, Completion of the Running Example, Architecture of a
Transition-Diagram-Based Lexical Analyzer
Tutorial: Exercises on Specification and Recognition of Tokens
Self-learning: Applications of Compiler Technology
Unit – II 10 Hours
Syntax Analysis-1:
Introduction: The Role of the Parser, Representative Grammars, Syntax Error Handling, Error-
Recovery Strategies; Context-Free Grammars: The Formal Definition of a Context-Free Grammar,
Notational Conventions, Derivations, Parse Trees and Derivations, Ambiguity, Verifying the Language
Generated by a Grammar, Context-Free Grammars Versus Regular Expressions; Writing a Grammar:
Lexical Versus Syntactic Analysis, Eliminating Ambiguity, Elimination of Left Recursion, Left
Factoring; Top-Down Parsing: Recursive-Descent Parsing, FIRST and FOLLOW, LL(l) Grammars,
Non-recursive Predictive Parsing, Error Recovery in Predictive Parsing
Tutorial: Exercises on Top down Parsing
Unit – III 10 Hours
Syntax Analysis-2:
Bottom-up Parsing: Reductions, Handle Pruning, Shift-Reduce Parsing, Conflicts During Shift-Reduce
Parsing; Introduction to LR Parsing: Simple LR: Items and the LR(O) Automaton, The LR-Parsing
Algorithm, Constructing SLR-Parsing Tables, Viable Prefixes; More Powerful LR Parsers: Canonical
LR(l) Items, Constructing LR(l) Sets of Items, Canonical LR(l) Parsing Tables, Constructing LALR
Parsing
Tutorial: Exercises on Bottom up Parsing
Self-learning: Using Ambiguous Grammars
Unit – IV 10 Hours
Syntax-Directed Definitions and Syntax-Directed Translation Schemes:
Inherited and Synthesized Attributes, Evaluating an SDD at the Nodes of a Parse Tree; Evaluation
Orders for SDD's: Dependency Graphs, Ordering the Evaluation of Attributes, S-Attributed
Definitions, L-Attributed Definitions; Applications of Syntax-Directed Translation: Construction of
Syntax Trees (Only S-Attributed)
Syntax-Directed Translation Schemes: Postfix Translation Schemes, Parser-Stack Implementation of
Postfix SDT's
Unit – V 10 Hours
Intermediate Code Generation and Code Generation:
Variants of Syntax Trees: Directed Acyclic Graphs for Expressions, The Value-Number Method for
Constructing DAG's; Three-Address Code: Addresses and Instructions, Quadruples, Triples, Static
Single-Assignment Form; Translation of Expressions: Operations Within Expressions; Control Flow:
Boolean Expressions, Short-Circuit Code, Flow-of-Control Statements
Code Generation: Issues in the design of Code Generator, The Target language, Basic blocks and Flow
graphs; Optimization of basic blocks; A Simple Code Generator
Self-learning: Control-Flow Translation of Boolean Expressions
"
Embedded Systems and IoT,"Unit – I 8 Hours
Embedded Computing: Introduction, Complex systems and microprocessors, Embedding
computers, Characteristics of embedded computing applications, Why use microprocessors,
Challenges in embedded computing system design, Performance of embedded computing systems.
The embedded system design process: Requirements, Specification, Architecture design, Designing
hardware and software components, System integration.
Unit – II 8 Hours
The 8051 Microcontrollers: Microcontrollers and embedded processors, Overview of the 8051
family.
8051 Programming in C: Data types and time delay in 8051 C, I/O programming in 8051 C, Logic
operations in 8051 C, Data conversion programs in 8051 C.
Unit – III 8 Hours
Programming timers 0 and 1 in 8051 C, Basics of serial communication, Serial port programming
in C, LCD interfacing, DAC interfacing, and Sensor interfacing.
Unit – IV 7 Hours
Introduction to Internet of Things: Introduction, Definition and Characteristics of IoT, Physical
design of IoT, Things in IoT, IoT Protocols, Logical Design of IoT, IoT functional blocks, IoT
Communication Models, IoT Communication APIs, IoT Enabling Technologies, IoT levels and
Deployment Templates.
Domain Specific IoTs: Introduction, Home Automation, Environment.
Unit – V 7 Hours
IoT Physical Devices and Endpoints: What is an IoT Device, Basic building blocks of an IoT
Device, Exemplary Device: Raspberry Pi, About the board, Linux on Raspberry Pi, Raspberry Pi
interfaces, Programming Raspberry Pi with Python, Other IoT Devices.
"
Computer Graphics,"Unit – I 8 Hours
Introduction: A graphics system, Images: Physical and synthetic, The synthetic camera model, The
programmer’s interface, Graphics architectures, The Sierpinski gasket, Programming 2D
Applications, The OpenGL API, Primitives and attributes.
Unit – II 8 Hours
Introduction: Color, Viewing, Control functions, The Gasket program, Polygons and recursion, The
three-dimensional gasket.
Input and Interaction: Interaction, Input devices, Programming Event Driven Input, Menus, A
simple CAD program, Building Interactive Models, Animating Interactive Program, Design of
Interactive Programs, Logic Operations.
Unit - III 8 Hours
Geometric Objects and Transformations : Three-dimensional Primitives, Coordinate Systems and
Frames, Frames in Open GL, Modeling a Colored Cube, Affine Transformations, Rotation,
Translation and Scaling, Transformation in Homogeneous Coordinates, Concatenation of
Transformations, 3D Transformations, OpenGL Transformation Matrices.
Unit - IV 8 Hours
Viewing: Classical and computer viewing, Viewing with a Computer; Positioning of the camera,
Simple projections, Projections in OpenGL, Hidden-surface removal.
Lighting: Light and Matter, Light Sources, The Phong Lighting model, Computation of vectors.
Unit - V 8 Hours
Shading: Polygonal Shading, Approximation of a sphere by recursive subdivisions, Light sources in
OpenGL, Specification of materials in OpenGL, Shading of the sphere model, Global Illumination.
Implementation: Clipping, Line-segment clipping, Polygon clipping."
Big Data Management,"Unit – I 8 Hours
Introduction: Big Data Definition, History of Data Management-Evolution of Big Data, Structuring Big
Data, Elements of Big Data, Big Data Analytics, Careers in Big Data, Future of Big Data, Use of Big Data
in Social Networking, Use of Big Data in Preventing Fraudulent Activities; Use of Big Data in Retail
Industry
Unit – II 8 Hours
Hadoop Ecosystem: Understanding Hadoop Ecosystem, Hadoop Distributed File System:HDFS
Architecture,Concept of Blocks in HDFS Architecture, NameNodes and Data Nodes, The Command-Line
Interface, Using HDFS Files, Hadoop-Specific File System Types, HDFS Commands, The
org.apache.hadoop.io package,HDFS High availability:Features of HDFS.
Course Code 18CS642 Credits 3
Course type PE CIE Marks 50 marks
Hours/week: L-T-P 3 – 0 – 0 SEE Marks 50 marks
Total Hours: 40 SEE Duration 3 Hours for 100 marks
Pre-requisites: Database Management System, Unix Shell Programming
Unit – III 8 Hours
Understanding MapReduce: The MapReduce Framework: Exploring the Features of MapReduce,
Working of MapReduce, Exploring Map and Reduce Functions, Uses of MapReduce.
YARN Architecture: Background; Advantages of YARN; YARN Architecture
Unit – IV 8 Hours
Apache Spark: Overview - What Apache Spark is? Features of apache spark, Spark programming
languages, Spark's built-in libraries; Spark History - Limitations of Map Reduce in Hadoop, Creation
history of Spark; Why Use Spark - Comparison of Spark and Map Reduce, Reasons for choosing Spark;
Spark architecture and its advantages; Data sharing using Spark RDD; iterative operations on Spark RDD;
interactive operations on Spark RDD; Spark –installation.
Unit – V 8 Hours
NoSQL: Introduction to NoSQL: Why NoSQL, Characteristics of NoSQL, History of NoSQL, Types of
NoSQL Data Models: Key-Value Data Model, Column-Oriented Data Model, Document Data Model,
Graph Databases, Schemaless Databases, Materialized views, Distribution Models: CAP Theorem,
Sharding"
System Software,"Unit – I 8 Hours
Machine Architecture: Introduction, System Software and Machine Architecture, Simplified
Instructional Computer (SIC) - SIC Machine Architecture, SIC/XE Machine Architecture, SIC and
SIC/XE Programming Examples. Case Study UltraSPARC architecture
Self-learning topics: PowerPC Architecture
Unit – II 8 Hours
Assemblers -1: Basic Assembler Function - A Simple SIC Assembler, Assembler Algorithm and
Data Structures, Machine Dependent Assembler Features - Instruction Formats and Addressing
Modes, Program Relocation
Unit – III 8 Hours
Assemblers -2: Machine Independent Assembler Features – Literals, Program Blocks, Control
Sections and Programming Linking, Assembler Design Operations – One Pass Assembler, Multi-
Pass Assembler. Case Study MASM Assembler.
Self-learning topics: SPARC Assembler.
Unit – IV 8 Hours
Loaders and Linkers: Basic Loader Functions - Design of an Absolute Loader, A Simple Bootstrap
Loader, Machine-Dependent Loader Features – Relocation, Program Linking, Algorithm and Data
Structures for a Linking Loader; Machine-Independent Loader Features - Automatic Library Search,
Loader Options. Case Study MS-DOS Linker,
Self-learning topics: Case Study Sun OS Linker
Unit – V 8 Hours
Macro Processor: Basic Macro Processor Functions - Macro Definitions and Expansion, Macro
Processor Algorithm and Data Structures, Machine Independent Macro Processor Features -
Concatenation of Macro Parameters, Generation of Unique Labels, Conditional Macro Expansion,
Keyword Macro Parameters, Case Study: MASM Macro Processor. ANSI C Macro language."
Software Testing,"Unit – I 8 Hours
A perspective on Testing
Basic definitions, Test cases, Insights from Venn diagram, Identifying Test Cases, Error and fault
taxonomy, Levels of Testing.
Examples: Generalized pseudocode, The Triangle problem, The Next Date function, The
Commission Problem, The SATM (Simple Automatic Teller Machine) system, The currency
convertor, Saturn Windshield Wiper Controller.
Unit – II 8 Hours
Boundary Value Testing
Boundary Value Analysis, Robustness Testing, Worst Case Testing, Special Value Testing,
Examples, Random Testing, Guidelines for Boundary Value Testing.
Case Study: Analysis of Banking application using Boundary Value Analysis
Unit – III 8 Hours
Equivalence Class Testing:
Equivalence classes, Equivalence Class Test Cases for the Triangle Problem, Equivalence Class Test
Cases for the NextDate Function, Equivalence Class Test Cases for the Commission Problem,
Guidelines and Observations.
Case Study: Analysis of Amazon E-Commerce application by using Equivalence class testing.
Unit – IV 8 Hours
Path Testing: DD Paths, Test Coverage Matrix, Basis Path Testing, Guidelines and Observations.
Unit – V 8 Hours
Data Flow Testing:
Define/use Testing, Slice Based Testing, Guidelines and Observations.
Case Study: Selenium and J automated testing tools."
"Robotic Process Automation
(Industry supported elective)","Unit – I 8 Hours
PROGRAMMING BASICS & RECAP
Programming Concepts Basics - Understanding the application - Basic Web Concepts - Protocols -
Email Clients -. Data Structures - Data Tables - Algorithms - Software Processes - Software Design
- Scripting - .Net Framework - .Net Fundamentals - XML - Control structures and functions - XML
- HTML - CSS - Variables & Arguments
Unit – II 8 Hours
RPA CONCEPTS
RPA Basics - History of Automation - What is RPA - RPA vs Automation - Processes & Flowcharts
- Programming Constructs in RPA - What Processes can be Automated - Types of Bots - Workloads
which can be automated - RPA Advanced Concepts - Standardization of processes - RPA Developemt
methodologies - Difference from SDLC - Robotic control flow architecture - RPA business case -
RPA Team - Proccess Design Document/Solution Design Document - Industries best suited for RPA
- Risks & Challenges with RPA - RPA and emerging ecosystem.
Unit – III 8 Hours
RPA TOOL INTRODUCTION & BASICS
Introduction to RPA Tool - The User Interface - Variables - Managing Variables - Naming Best
Practices - The Variables Panel - Generic Value Variables - Text Variables - True or False Variables
- Number Variables - Array Variables - Date and Time Variables - Data Table Variables - Managing
Arguments - Naming Best Practices - The Arguments Panel - Using Arguments - About Imported
Namespaces - Importing New Namespaces- Control Flow - Control Flow Introduction - If Else
Statements - Loops - Advanced Control Flow - Sequences - Flowcharts - About Control Flow -
Control Flow Activities - The Assign Activity - The Delay Activity - The Do While Activity - The If
Activity - The Switch Activity - The While Activity - The For Each Activity - The Break Activity -
Data Manipulation - Data Manipulation Introduction - Scalar variables, collections and Tables - Text
Manipulation - Data Manipulation - Gathering and Assembling Data
Unit – IV 8 Hours
ADVANCED AUTOMATION CONCEPTS AND TECHNIQUES
Recording and Advanced UI Interaction - Recording Introduction - Basic and Desktop Recording
- Web Recording - Input/Output Methods - Screen Scraping - Data Scraping - Scraping advanced
techniques - Selectors - Selectors - Defining and Assessing Selectors - Customization - Debugging -
Dynamic Selectors - Partial Selectors - RPA Challenge - Image, Text & Advanced Citrix Automation
- Introduction to Image & Text Automation - Image based automation - Keyboard based automation
- Information Retrieval - Advanced Citrix Automation challenges - Best Practices - Using tab for
Images - Starting Apps - Excel Data Tables & PDF - Data Tables in RPA - Excel and Data Table
basics - Data Manipulation in excel - Extracting Data from PDF - Extracting a single piece of data -
Anchors - Using anchors in PDF.
Unit – V 8 Hours
EMAIL AUTOMATION & EXCEPTIONAL HANDLING
Email Automation - Email Automation - Incoming Email automation - Sending Email automation -
Debugging and Exception Handling - Debugging Tools - Strategies for solving issues - Catching
errors."
Digital Image Processing,"Unit I 8 Hours
Introduction What is Digital Image Processing, The origin of digital Image Processing Examples of
fields that use Image processing, Fundamental Steps in Digital Image Processing, Components of an
Image Processing System, Image Sampling and Quantization, Some Basic Relationships between
Pixels-Neighbors and Connectivity of pixels in image.
Unit II 8 Hours
Image Enhancement In The Spatial Domain: Some Basic Gray Level Transformations, Histogram
Processing, Enhancement Using Arithmetic/Logic Operations, Basics of Spatial Filtering, Smoothing
Spatial Filters, Sharpening Spatial Filters, Combining Spatial Enhancement Methods.
Unit III 8 Hours
Image Enhancement In Frequency Domain: Introduction to Fourier Transform & frequency domain,
One dimensional & two dimensional Discrete Fourier Transform (DFT) and its inverse, Image filtering
in frequency domain. Correspondence between filtering in spatial & frequency domain. Smoothing
Frequency domain filters, Sharpening Frequency domain filters
Unit IV 8 Hours
Image Enhancement In Frequency Domain contd..: Smoothing Frequency domain filters: Ideal low
pass filter, Butterworth low pass, Gaussian low pass, Sharpening Frequency domain filters: Ideal high
pass filter, Butterworth high pass, Gaussian high pass, The Laplacian in the frequency domain
Unit V 8 Hours
Image Segmentation: Introduction, Detection of Discontinuities, Point Detection, line detection, Edge
detection, Thresholding: Fondation, Role of illumination, Basic Global & Adaptive thresholding,
Region based segmentation- Region growing, Region splitting and merging"
Information and Network Security,"Unit – I 8 Hours
Classical Encryption Techniques Symmetric Cipher Model:
Symmetric cipher model, security attacks, security services, security mechanisms, Substitution
Techniques, transposition techniques The data encryption standard, Feistal cipher structure, Block
cipher design Principles
Self-study: AES traditional block cipher.
Unit – II 8 Hours
Public-Key Cryptography and RSA:
Principles of public-key cryptosystems. Publickey cryptosystems. Applications for public-key
cryptosystems, requirements for publickey cryptosystems. Public-key cryptanalysis. The RSA
algorithm, description of the algorithm, computational aspects, the security of RSA.
Self-study: Other Public-Key Cryptosystems: Diffie-hellman key exchange, The algorithm, key
exchange protocols, man in the middle attack
Unit – III 8 Hours
Key management and distribution
Symmetric key distribution using Symmetric encryption, Symmetric key distribution using
asymmetric encryption, distribution of public keys, x.509 certificates.
Self-Study: Kerberos Motivation, Kerberos Version 4, Kerberos Version 5
8 Hours
Unit – IV
Wireless network security and Transport layer security
Wireless security, mobile device security, IEEE 802.11 Wireless LAN overview, Web Security
Considerations, Secure Sockets Layer and transport layer security.
Self-Study: HTTPS Connection Initiation, Connection Closure. Secure Shell (SSH).
Unit – V 8 Hours
Electronic Mail Security:
Pretty good privacy, notation, operational; description, S/MIME, RFC5322, Multipurpose internet
mail extensions, S/MIME functionality, S/MIME messages, S/MIME certificate processing,
enhanced security services, Domain keys identified mail, internet mail architecture, E-Mail threats,
DKIM strategy, DKIM functional flow."
"ntroduction to Salesforce
(Industry Supported Elective)","nit – I 8 Hours
Introduction: Getting Around the App, Salesforce Platform Basics: Get started with salesforce
platform. Discover Use Cases for the Platform, Understand the Salesforce Architecture, Navigate
Setup, Power Up with AppExchange, Data Model: Understand Custom & Standard Objects, Create
Object Relationships, Work with Schema Builder, Lightning Experience: Get Your Bearings,
Navigate Around, Work with List Views, Work with Your Data, Company-Wide Org Settings: Learn
About Regional Settings, Discover Multiple Currency Settings
Unit – II 8 Hours
Getting Your Organization Ready for Users: Lightning Experience Productivity: Elevate Your
Daily Productivity, Work with Notes and Files, Manage Your Tasks, Events, and Email, Find Your
Stuff with Search, Collaborate with Feeds and Groups, Analyze Your Data with Reports and
Dashboards, Configuring Search Settings: Choose the Right Search Solution, Optimize Search
Results, Setting Up Chatter (Classic): Get Started with Chatter, Enable Feed Tracking, Create
Publisher Actions, Approve Records from the Feed, Develop a Rollout Strategy, Support a New
Business Unit: Manage User Access, Manage Chatter, Modify Your Data Model, Configure an Email
Letterhead and Template, Automate Your Business Process, Mobile Access with Salesforce1.
Unit – III 8 Hours
Elementary SCTP Sockets: Interface Models, shutdown function, Notifications.
Setting Up and Managing Users: Managing Users and Introduction to Data Security, Activity
Management: Activities: Tasks, Events, and Calendars Documentation.
Security and Data Access: Data Security, Who Sees What.
Object Customizations: Creating Picklist and Picklist Administration, Creating Formula Fields and
Validation Rule, Working with Page Layouts, Working with Record Types, Introduction to Business
Process, Maintaining Data Quality.
Managing Data: Import Wizards, Export Wizards, Use Data Loader To Export Data, Data Loader
To Import.
Unit – IV 8 Hours
Lightning Experience Customization: Customize the Lightning Experience user interface without
writing any code, Reports and Dashboards: Introduction to Reports and Dashboards, Creating New
Reports with the Report Builder, Running and Modifying Reports, Format Reports with Summary,
Tabular, Matrix and Joined, Building Dashboards, Email Templates and Letterheads: Email
Templates and LetterHeads, Automation: Difference Between Workflow Rules and Process Builder,
Process Builder, Lead Automation.
Unit – V 8 Hours
Managing the Support Process: Managing and Resolving Cases, Customizing a Support Process,
Automating Support, Understanding the Salesforce Console for Service, Collaborating in the Service
Cloud, Analyzing Support Data, Lightning App Builder: Build custom pages for Lightning
Experience and the Salesforce mobile app quickly with point-and-click tools."
