Subject,Description
"artificial intelligence and machine learning
:"," introduction to artificial intelligence: introduction, what is ai, strong methods and weakmethods. uses and limitations:
knowledge representation: need for good representation, semantic nets, frames, , search spaces,
semantics tress, search trees, combinatorial explosion, problem reduction, goal trees,
combinatorial explosionself-learning topics: inheritance, object oriented programming search methodologies: introduction, problem solving as search, data driven or goal driven search,
generate and test, properties of search methods, depth first iterative deepening, using heuristicsfor search, hill climbing, best-first search, identifying optimal paths, constraint satisfactionsearch, forward checking, local search and meta heuristics, simulated annealing. geneticalgorithms for search, real time a*, bidirectional search, nondeterministic search, non-
chronological backtrackingself-learning topics: depth first search, breadth first search, implementing depth-first andbreadth-first search game playing: game trees, minimax, alpha beta pruningprepositional and predicate logic: introduction, what is logic, why logic is used in artificialintelligence, logical operators, translating between english and logic notation, the deductiontheorem, soundness, completeness, decidability, monotonicity, abduction and inductive reasoning,
modal logics and possible worlds, dealing with change.
inference and resolution for problem solving: introduction, resolution in prepositional logic:
applications of resolution, resolution in predicate logic, normal forms for predicate logic,
skolemization, resolution algorithms, resolution for problem solving,
self-learning topics: truth tables: not, and, or, implies, if, complex truth tables, tautology,
equivalence introduction to machine learning: introduction, training rote learning, learning concepts,
general-to-specific ordering, version spaces, candidate elimination, inductive bias, decision-
tree induction, the problem of overfitting, the nearest neighbor algorithm, backpropagationalgorithms, reinforcement learning.
neural networks: introduction, neurons, perceptrons, multilayer neural networks, recurrentnetworks, unsupervised learning networks, evolving neural networks.
self-learning topics: supervised learning, unsupervised learning probabilistic reasoning and bayesian belief networks: introduction, probabilistic reasoning,
joint probability distributions, bayes’ theorem, simple bayesian concept learning, bayesianbelief networks, the noisy-v function, bayes’ optimal classifier, the naïve bayes classifierself-learning topics: collaborative filtering"
"compiler design
:"," introduction and lexical analysis:
introduction: language processor, structure of compiler: lexical analysis, syntax analysis,
semantic analysis, intermediate code generation, code optimization, code generation, symbol-tablemanagement, the grouping of phases into passes, compiler-construction toolslexical analysis: the role of lexical analyzer: lexical analysis versus parsing, tokens, patterns,
and lexemes, attributes for tokens, lexical errors; input buffering: buffer pairs, sentinels;
specification of tokens: strings and languages, operations on languages, regular expressions,
regular definitions, extensions of regular expressions; recognition of tokens: transition diagrams,
recognition of reserved words and identifiers, completion of the running example, architecture of atransition-diagram-based lexical analyzertutorial: exercises on specification and recognition of tokensself-learning: applications of compiler technology syntax analysis-1:
introduction: the role of the parser, representative grammars, syntax error handling, error-
recovery strategies; context-free grammars: the formal definition of a context-free grammar,
notational conventions, derivations, parse trees and derivations, ambiguity, verifying the languagegenerated by a grammar, context-free grammars versus regular expressions; writing a grammar:
lexical versus syntactic analysis, eliminating ambiguity, elimination of left recursion, leftfactoring; top-down parsing: recursive-descent parsing, first and follow, ll(l) grammars,
non-recursive predictive parsing, error recovery in predictive parsingtutorial: exercises on top down parsing syntax analysis-2:
bottom-up parsing: reductions, handle pruning, shift-reduce parsing, conflicts during shift-reduceparsing; introduction to lr parsing: simple lr: items and the lr(o) automaton, the lr-parsingalgorithm, constructing slr-parsing tables, viable prefixes; more powerful lr parsers: canonicallr(l) items, constructing lr(l) sets of items, canonical lr(l) parsing tables, constructing lalrparsingtutorial: exercises on bottom up parsingself-learning: using ambiguous grammars syntax-directed definitions and syntax-directed translation schemes:
inherited and synthesized attributes, evaluating an sdd at the nodes of a parse tree; evaluationorders for sdd's: dependency graphs, ordering the evaluation of attributes, s-attributeddefinitions, l-attributed definitions; applications of syntax-directed translation: construction ofsyntax trees (only s-attributed)
syntax-directed translation schemes: postfix translation schemes, parser-stack implementation ofpostfix sdt's intermediate code generation and code generation:
variants of syntax trees: directed acyclic graphs for expressions, the value-number method forconstructing dag's; three-address code: addresses and instructions, quadruples, triples, staticsingle-assignment form; translation of expressions: operations within expressions; control flow:
boolean expressions, short-circuit code, flow-of-control statementscode generation: issues in the design of code generator, the target language, basic blocks and flowgraphs; optimization of basic blocks; a simple code generatorself-learning: control-flow translation of boolean expressions
"
embedded systems and iot:," embedded computing: introduction, complex systems and microprocessors, embeddingcomputers, characteristics of embedded computing applications, why use microprocessors,
challenges in embedded computing system design, performance of embedded computing systems.
the embedded system design process: requirements, specification, architecture design, designinghardware and software components, system integration.
 the 8051 microcontrollers: microcontrollers and embedded processors, overview of the 8051family.
8051 programming in c: data types and time delay in 8051 c, i/o programming in 8051 c, logicoperations in 8051 c, data conversion programs in 8051 c.
 programming timers 0 and 1 in 8051 c, basics of serial communication, serial port programmingin c, lcd interfacing, dac interfacing, and sensor interfacing.
 7 hoursintroduction to internet of things: introduction, definition and characteristics of iot, physicaldesign of iot, things in iot, iot protocols, logical design of iot, iot functional blocks, iotcommunication models, iot communication apis, iot enabling technologies, iot levels anddeployment templates.
domain specific iots: introduction, home automation, environment.
 7 hoursiot physical devices and endpoints: what is an iot device, basic building blocks of an iotdevice, exemplary device: raspberry pi, about the board, linux on raspberry pi, raspberry piinterfaces, programming raspberry pi with python, other iot devices.
"
computer graphics:," introduction: a graphics system, images: physical and synthetic, the synthetic camera model, theprogrammer’s interface, graphics architectures, the sierpinski gasket, programming 2dapplications, the opengl api, primitives and attributes.
 introduction: color, viewing, control functions, the gasket program, polygons and recursion, thethree-dimensional gasket.
input and interaction: interaction, input devices, programming event driven input, menus, asimple cad program, building interactive models, animating interactive program, design ofinteractive programs, logic operations.
unit - iii geometric objects and transformations : three-dimensional primitives, coordinate systems andframes, frames in open gl, modeling a colored cube, affine transformations, rotation,
translation and scaling, transformation in homogeneous coordinates, concatenation oftransformations, 3d transformations, opengl transformation matrices.
unit - iv viewing: classical and computer viewing, viewing with a computer; positioning of the camera,
simple projections, projections in opengl, hidden-surface removal.
lighting: light and matter, light sources, the phong lighting model, computation of vectors.
unit - v shading: polygonal shading, approximation of a sphere by recursive subdivisions, light sources inopengl, specification of materials in opengl, shading of the sphere model, global illumination.
implementation: clipping, line-segment clipping, polygon clipping."
big data management:," introduction: big data definition, history of data management-evolution of big data, structuring bigdata, elements of big data, big data analytics, careers in big data, future of big data, use of big datain social networking, use of big data in preventing fraudulent activities; use of big data in retailindustry hadoop ecosystem: understanding hadoop ecosystem, hadoop distributed file system:hdfsarchitecture,concept of blocks in hdfs architecture, namenodes and data nodes, the command-lineinterface, using hdfs files, hadoop-specific file system types, hdfs commands, theorg.apache.hadoop.io package,hdfs high availability:features of hdfs.
course code 18cs642 credits 3course type pe cie marks 50 markshours/week: l-t-p 3 – 0 – 0 see marks 50 markstotal hours: 40 see duration 3 hours for 100 markspre-requisites: database management system, unix shell programming understanding mapreduce: the mapreduce framework: exploring the features of mapreduce,
working of mapreduce, exploring map and reduce functions, uses of mapreduce.
yarn architecture: background; advantages of yarn; yarn architecture apache spark: overview - what apache spark is? features of apache spark, spark programminglanguages, spark's built-in libraries; spark history - limitations of map reduce in hadoop, creationhistory of spark; why use spark - comparison of spark and map reduce, reasons for choosing spark;
spark architecture and its advantages; data sharing using spark rdd; iterative operations on spark rdd;
interactive operations on spark rdd; spark –installation.
 nosql: introduction to nosql: why nosql, characteristics of nosql, history of nosql, types ofnosql data models: key-value data model, column-oriented data model, document data model,
graph databases, schemaless databases, materialized views, distribution models: cap theorem,
sharding"
system software:," machine architecture: introduction, system software and machine architecture, simplifiedinstructional computer (sic) - sic machine architecture, sic/xe machine architecture, sic andsic/xe programming examples. case study ultrasparc architectureself-learning topics: powerpc architecture assemblers -1: basic assembler function - a simple sic assembler, assembler algorithm anddata structures, machine dependent assembler features - instruction formats and addressingmodes, program relocation assemblers -2: machine independent assembler features – literals, program blocks, controlsections and programming linking, assembler design operations – one pass assembler, multi-
pass assembler. case study masm assembler.
self-learning topics: sparc assembler.
 loaders and linkers: basic loader functions - design of an absolute loader, a simple bootstraploader, machine-dependent loader features – relocation, program linking, algorithm and datastructures for a linking loader; machine-independent loader features - automatic library search,
loader options. case study ms-dos linker,
self-learning topics: case study sun os linker macro processor: basic macro processor functions - macro definitions and expansion, macroprocessor algorithm and data structures, machine independent macro processor features -
concatenation of macro parameters, generation of unique labels, conditional macro expansion,
keyword macro parameters, case study: masm macro processor. ansi c macro language."
software testing:," a perspective on testingbasic definitions, test cases, insights from venn diagram, identifying test cases, error and faulttaxonomy, levels of testing.
examples: generalized pseudocode, the triangle problem, the next date function, thecommission problem, the satm (simple automatic teller machine) system, the currencyconvertor, saturn windshield wiper controller.
 boundary value testingboundary value analysis, robustness testing, worst case testing, special value testing,
examples, random testing, guidelines for boundary value testing.
case study: analysis of banking application using boundary value analysis equivalence class testing:
equivalence classes, equivalence class test cases for the triangle problem, equivalence class testcases for the nextdate function, equivalence class test cases for the commission problem,
guidelines and observations.
case study: analysis of amazon e-commerce application by using equivalence class testing.
 path testing: dd paths, test coverage matrix, basis path testing, guidelines and observations.
 data flow testing:
define/use testing, slice based testing, guidelines and observations.
case study: selenium and j automated testing tools."
"robotic process automation
(industry supported elective):"," programming basics & recapprogramming concepts basics - understanding the application - basic web concepts - protocols -
email clients -. data structures - data tables - algorithms - software processes - software design
- scripting - .net framework - .net fundamentals - xml - control structures and functions - xml
- html - css - variables & arguments rpa conceptsrpa basics - history of automation - what is rpa - rpa vs automation - processes & flowcharts
- programming constructs in rpa - what processes can be automated - types of bots - workloadswhich can be automated - rpa advanced concepts - standardization of processes - rpa developemtmethodologies - difference from sdlc - robotic control flow architecture - rpa business case -
rpa team - proccess design document/solution design document - industries best suited for rpa
- risks & challenges with rpa - rpa and emerging ecosystem.
 rpa tool introduction & basicsintroduction to rpa tool - the user interface - variables - managing variables - naming bestpractices - the variables panel - generic value variables - text variables - true or false variables
- number variables - array variables - date and time variables - data table variables - managingarguments - naming best practices - the arguments panel - using arguments - about importednamespaces - importing new namespaces- control flow - control flow introduction - if elsestatements - loops - advanced control flow - sequences - flowcharts - about control flow -
control flow activities - the assign activity - the delay activity - the do while activity - the ifactivity - the switch activity - the while activity - the for each activity - the break activity -
data manipulation - data manipulation introduction - scalar variables, collections and tables - textmanipulation - data manipulation - gathering and assembling data advanced automation concepts and techniquesrecording and advanced ui interaction - recording introduction - basic and desktop recording
- web recording - input/output methods - screen scraping - data scraping - scraping advancedtechniques - selectors - selectors - defining and assessing selectors - customization - debugging -
dynamic selectors - partial selectors - rpa challenge - image, text & advanced citrix automation
- introduction to image & text automation - image based automation - keyboard based automation
- information retrieval - advanced citrix automation challenges - best practices - using tab forimages - starting apps - excel data tables & pdf - data tables in rpa - excel and data tablebasics - data manipulation in excel - extracting data from pdf - extracting a single piece of data -
anchors - using anchors in pdf.
 email automation & exceptional handlingemail automation - email automation - incoming email automation - sending email automation -
debugging and exception handling - debugging tools - strategies for solving issues - catchingerrors."
digital image processing:," introduction what is digital image processing, the origin of digital image processing examples offields that use image processing, fundamental steps in digital image processing, components of animage processing system, image sampling and quantization, some basic relationships betweenpixels-neighbors and connectivity of pixels in image.
unit ii image enhancement in the spatial domain: some basic gray level transformations, histogramprocessing, enhancement using arithmetic/logic operations, basics of spatial filtering, smoothingspatial filters, sharpening spatial filters, combining spatial enhancement methods.
unit iii image enhancement in frequency domain: introduction to fourier transform & frequency domain,
one dimensional & two dimensional discrete fourier transform (dft) and its inverse, image filteringin frequency domain. correspondence between filtering in spatial & frequency domain. smoothingfrequency domain filters, sharpening frequency domain filtersunit iv image enhancement in frequency domain contd..: smoothing frequency domain filters: ideal lowpass filter, butterworth low pass, gaussian low pass, sharpening frequency domain filters: ideal highpass filter, butterworth high pass, gaussian high pass, the laplacian in the frequency domainunit v image segmentation: introduction, detection of discontinuities, point detection, line detection, edgedetection, thresholding: fondation, role of illumination, basic global & adaptive thresholding,
region based segmentation- region growing, region splitting and merging"
information and network security:," classical encryption techniques symmetric cipher model:
symmetric cipher model, security attacks, security services, security mechanisms, substitutiontechniques, transposition techniques the data encryption standard, feistal cipher structure, blockcipher design principlesself-study: aes traditional block cipher.
 public-key cryptography and rsa:
principles of public-key cryptosystems. publickey cryptosystems. applications for public-keycryptosystems, requirements for publickey cryptosystems. public-key cryptanalysis. the rsaalgorithm, description of the algorithm, computational aspects, the security of rsa.
self-study: other public-key cryptosystems: diffie-hellman key exchange, the algorithm, keyexchange protocols, man in the middle attack key management and distributionsymmetric key distribution using symmetric encryption, symmetric key distribution usingasymmetric encryption, distribution of public keys, x.509 certificates.
self-study: kerberos motivation, kerberos version 4, kerberos version 5wireless network security and transport layer securitywireless security, mobile device security, ieee 802.11 wireless lan overview, web securityconsiderations, secure sockets layer and transport layer security.
self-study: https connection initiation, connection closure. secure shell (ssh).
 electronic mail security:
pretty good privacy, notation, operational; description, s/mime, rfc5322, multipurpose internetmail extensions, s/mime functionality, s/mime messages, s/mime certificate processing,
enhanced security services, domain keys identified mail, internet mail architecture, e-mail threats,
dkim strategy, dkim functional flow."
"ntroduction to salesforce
(industry supported elective):"," introduction: getting around the app, salesforce platform basics: get started with salesforceplatform. discover use cases for the platform, understand the salesforce architecture, navigatesetup, power up with appexchange, data model: understand custom & standard objects, createobject relationships, work with schema builder, lightning experience: get your bearings,
navigate around, work with list views, work with your data, company-wide org settings: learnabout regional settings, discover multiple currency settings getting your organization ready for users: lightning experience productivity: elevate yourdaily productivity, work with notes and files, manage your tasks, events, and email, find yourstuff with search, collaborate with feeds and groups, analyze your data with reports anddashboards, configuring search settings: choose the right search solution, optimize searchresults, setting up chatter (classic): get started with chatter, enable feed tracking, createpublisher actions, approve records from the feed, develop a rollout strategy, support a newbusiness unit: manage user access, manage chatter, modify your data model, configure an emailletterhead and template, automate your business process, mobile access with salesforce1.
 elementary sctp sockets: interface models, shutdown function, notifications.
setting up and managing users: managing users and introduction to data security, activitymanagement: activities: tasks, events, and calendars documentation.
security and data access: data security, who sees what.
object customizations: creating picklist and picklist administration, creating formula fields andvalidation rule, working with page layouts, working with record types, introduction to businessprocess, maintaining data quality.
managing data: import wizards, export wizards, use data loader to export data, data loaderto import.
 lightning experience customization: customize the lightning experience user interface withoutwriting any code, reports and dashboards: introduction to reports and dashboards, creating newreports with the report builder, running and modifying reports, format reports with summary,
tabular, matrix and joined, building dashboards, email templates and letterheads: emailtemplates and letterheads, automation: difference between workflow rules and process builder,
process builder, lead automation.
 managing the support process: managing and resolving cases, customizing a support process,
automating support, understanding the salesforce console for service, collaborating in the servicecloud, analyzing support data, lightning app builder: build custom pages for lightningexperience and the salesforce mobile app quickly with point-and-click tools."
mobile computing:," introduction: pcs architecture, cellular telephony: advanced mobile phone service, global systemfor mobile communication, cordless telephone and low tier pcs: cordless telephone, 2nd generation,
digital european cordless telephone, personnel handy phone system, personnel access communicationsystem, mobility management: handoff, intersystem handoff, roaming management.
self learning topics: roaming management under ss7 gsm system: overview, architecture: mobile station, base station system, network and switchingsubsystem, radio interface, location tracking, security, data services: gprs, mobility management,
gsm location update, failure restorationself learning topics: vlr identification algorithm.
 gsm short message service: sms architecture, sms protocol hierarchy: short message transfer layer,
short message relay layer, connection sublayer, mobile originated messaging, mobile terminatedmessaging, dte- dce interface gprs: procedures, billing, wireless application protocol, wap uaprof, caching, 3rd generation mobileservices, wcdma, dma 2000, wap developer toolkit, wireless os for 3g handset, 3rd generationsystems.
 cellular communication: the 3rd generation(3g), the 3.5 generation, 4th generation, wlanstandard, physical layer, mac layer, frame structure, services, bluetooth: advantages, applications,
protocol stack, tracking services, frame structure, hyperlan"
entrepreneurship and managemen:," management: introduction, nature and characteristics of management, scope and functional areasof management, levels of management.
planning: nature, importance and purpose of planning process, types of plans, decision making,
importance of planning, steps in planningorganizing: nature and purpose of organization, principles of organization, types of organization,
span of control.
self-learning topics: management as a science, art of professionunit - ii staffing: nature and importance of staffing, process of selection & recruitment, training methods.
directing: meaning and nature of directing, leadership styles, motivation theories,
communication-meaning and importance.
controlling: meaning and steps in controlling, essentials of a sound control system, methods ofestablishing control.
unit - iii entrepreneur: meaning of entrepreneur: evolution of the concept: functions of an entrepreneur,
types of entrepreneur, concept of entrepreneurship, evolution of entrepreneurship, theentrepreneurial culture and stages in entrepreneurial process.
creativity and innovation: creativity, source of new idea, ideas into opportunities, creativeproblem solving: heuristics, brainstorming, synectics, significance of intellectual property rights.
self-learning topics: case studies of entrepreneursunit - iv micro, small and medium enterprises [msmes] and institutional support: businessenvironment in india, role of msmes, government policies towards msmes, impact ofliberalization, privatization and globalization on msmes.
institutional support: nsic, tecksok, kiadb, kssidc, sidbi; ksfcself-learning topics: make in india, start up india, digital indiaunit - v preparation of project: meaning of project, project identification, project selection, project report,
need and significance of project report, contents, formulation, guidelines by planning commission forproject report.
enterprise resource planning: meaning and importance- erp and functional areas of management
– marketing / sales- supply chain management – finance and accounting – human resources – typesof reports and methods of report generation
"
network programming:," introduction: introduction, client/server communication, osi model, bsd networking history,
test networks and hosts, unix standards, 64-bit architectures.
transport layer: tcp, udp and sctp, tcp connection establishment and termination.
self learning topics: tcp/ip protocols in nut shell.
 sockets introduction: introduction, socket address structures, value-result arguments, byteordering and manipulation functions.
elementary tcp sockets: socket, connect, bind, listen, accept, fork and exec, concurrent serverdesign, getcsockname and getpeername functions.
self learning topics: tcp echo client/server functions.
 elementary udp sockets: recvform and sendto functions, udp echo client/server- main, dg_echoand dg_cli functions, lost datagrams, verifying received responses, server not running, connectfunction with udp, lack of flow control with udp, determining outgoing interface with udp,
tcp and udp echo server using select.
elementary sctp sockets: interface models, shutdown function, notifications.
self learning topics: stcp one-to-many-style streaming echo client and server main functions.
 advanced sockets 1ipv4 and ipv6 interoperability: ipv4 client and ipv6 server, ipv6 client ad ipv4 server, ipv6address-testing macros, source code portabilitydaemon processes: syslogd daemon , syslog function.
self learning topics: daemon_init function, inetd daemon daemon_inetd function.
 advanced sockets 2broadcasting: introduction, broadcast addresses, unicast vs broadcast, dg_cli function usingbroadcasting, race conditions.
multicasting: introduction, multicast addresses, multicast vs broadcast on a lan, multicast on awan, source-specific multicast."
distributed computing:," characterization of distributed systems: introduction, examples of distributed systems,
challenges: heterogeneity, openness, security, scalability, failure handling.
system model: architectural models, fundamental models.
self-learning topics: security models inter process communication: introduction, api for internet protocols, external datarepresentation and marshalling, client – server communication.
distributed object and rmi: introduction, communication between distributed objects, rpc,
events and notifications.
 distributed file system: introduction, file service architecture.
security in distributed systems: introduction, overview of security techniques: cryptography,
certificates, access control. cryptographic algo: symmetric: ex substitution algo. , asymmetric:
rsa.
 time and global states: introduction, clocks, events and process status, synchronizing physicalclocks, logical time and logical clocks, global states.
coordination and agreement: introduction, distributed mutual exclusion, elections.
 introduction to cloud computing: introduction, network centric computing and network centriccontent, peer to peer systems, cloud computing: an old idea whose time has come,
cloud computing: delivery models and services, ethical issues in cloud computing, cloudvulnerabilities, major challenges faced by cloud computing.
self-learning topics: case studies: amazon web studies"
cloud computing:," introduction: business and it perspective, cloud and virtualization, cloud services requirements, cloudand dynamic infrastructure, cloud computing characteristics, cloud adoption.
cloud deployment models: cloud characteristics, measured service, cloud deployment models, securityin a public cloud, public verses private clouds, cloud infrastructure self-service.
 cloud as a service: gamut of cloud solutions, principal technologies, cloud strategy, cloud design andimplementation using soa, conceptual cloud model, cloud service defined.
cloud solutions: cloud ecosystem, cloud business process management, cloud service management, cloudstack, computing on demand, cloud sourcing.
 cloud virtualization technology: virtualization defined, virtualization benefits, server virtualization,
virtualization for x86 architecture, hypervisor management software, logical partitioning, vio server,
virtual infrastructure requirements. storage virtualization, storage area networks, network attachedstorage, cloud server virtualization.
 cloud management: resiliency, provisioning, asset management, cloud governance, high availabilityand disaster recovery, charging models, usage reporting, billing and metering.
 cloud computing with the titans: google, emc, netapp. microsoft, amazon, salesforce.com, ibm."
soft computing:," introduction: neural networks, application scope of neural networks, fuzzy logic, geneticalgorithm, hybrid systems, soft computing.
artificial neural network: an introduction, fundamental concepts, evolution of neuralnetworks, basic models of artificial neural networks, important terminologies of anns,
mcculloch- pitts neuron, linear separability, hebb network.
 supervised learning network: perceptron networks: perceptron learning rule, perceptrontraining algorithm for single output classes, adaptive linear neuron (adaline): delta rule forsingle output unit, back-propagation network..
associative memory networks: bidirectional associative memory (bam), hopfield networks.
 introduction to fuzzy logic, classical sets and fuzzy sets: introduction to fuzzy logic, classicalsets (crisp sets), fuzzy sets, properties of fuzzy sets.
classical relations and fuzzy relations: classical relation: operations on classical relations,
fuzzy relations: cardinality of fuzzy relations, operations on fuzzy relations, properties of fuzzyrelations, fuzzy composition.
 membership functions: features of the membership functions, fuzzification, methods ofmembership value assignments.
defuzzification: defuzzification methods.
 genetic algorithm: introduction, what are genetic algorithm?, why genetic algorithms?, geneticalgorithm and search space: evolution and optimization, basic terminologies in geneticalgorithms, operators in genetic algorithms: encoding, selection, crossover (recombination),
mutation"
block chain management:," on decentralization: why decentralization matters examples of failures due to centralized systemssome of the half-measures used to fix centralizationdocker and cryptography: fundamental cryptography concepts: symmetric keys, asymmetric keysand hashes, utilizing openssl to understand cryptography concepts,using docker and dockercompose to deploy simple applicationsblockchain revolution: public blockchains, and the problem they solve shortcomings of publicblockchains addressed by permissioned blockchains, components of a typical blockchain blockchain basics: from bitcoin to blockchain; blockchain programming; uml blockchain designmodels; blockchain node installation and managementsmart contracts: the concept of a smart contract; design of a smart contract; development of smartcontract code; deploying and testing the smart contract; decentralized airline system use case;
airlines smart contract; motivating decentralized scenarios; smart contract design considerations;
best practices techniques for trust and integrity: essentials of trust and integrity; implementing trust intermediation;
testing; establishing trust with modifiers, require(), revert(), and assert(); best practicesfrom smart contracts to dapps: preliminary concepts; dapp development using the truffle ide;
installing the ganache test chain; smart contract development; dapp web application development;
introspection; best practices security and privacy: deploying smart contracts on ropsten; cryptography basics; application ofpublic key cryptography; hashing basics; application of secure hashing; introspection; best practiceson-chain and off-chain data: on-chain data; blind auction use case; off-chain data: external datasources; ask airline system; introspection; best practices web3 and a channel dapp; going public with infura; decentralized file systesm(ipfs)
blockchain data analytics; blockchain protocols and platforms; blockchain business use cases"
ad-hoc sensor networks:," introduction: application examples, types of applications, challenges for wsns, why are sensornetworks different – manets and wsns, energy scavenging, microcontroller energy consumption,
relationship between computation and communication, some examples of sensor nodes.
 mac protocols: introduction, issues, design goals, classifications, contention-based protocols –
macaw, contention-based protocols with reservation mechanism – d-prma, low duty cycleprotocols and wakeup concepts – s-mac, schedule-based protocols – leachself-learning topics: ieee 802.11 dcf back off mechanism routing protocols: introduction, issues, classifications, table-driven routing protocols – dsdv,
on-demand routing protocols – dsr, aodv, hybrid routing protocols – zrp, routing protocolswith efficient flooding mechanism – olsr, hierarchical routing protocols – fsrself-learning topics: localization and positioning, topology control transport protocols: introduction, issues, design goals, classification, tcp over ad hoc networks
– a brief revisit, why tcp does not perform well in ad hoc networks, feedback-based tcp, tcpwith elfn, other transport layer protocols – actp, ad hoc transport protocol.
self-learning topics: coverage and deployment problems quality of service: introduction, issues and challenges, classifications, mac layer solutions –
ieee 802.11e edcf, network layer solutions – predictive location-based qos routing protocol,
qos frameworks – qos models, qos resource reservation signalingself-learning topics: qos in multihop wireless networks"
system simulation and modeling:," introduction: when simulation is the appropriate tool and when it is not appropriate, advantagesand disadvantages of simulation, systems and system environment; components of a system;
discrete and continuous systems; model of a system; types of models; discrete-event systemsimulation; simulation examples: simulation of queuing systems(single server and two server),
simulation of (m,n) inventory system.
general principles, simulation software: concepts in discrete-event simulation: the event-
scheduling / time-advance algorithm.
 statistical models in simulation: review of terminology and concepts; useful statistical models;
discrete distributions: binomial distribution, poisson distribution; continuous distributions: uniformdistribution, exponential distribution, triangular distribution.
 random-number generation: properties of random numbers; generation of pseudo-randomnumbers; techniques for generating random numbers; tests for random numbers: frequency tests;
random-variate generation: inverse transform technique: exponential distribution, uniformdistribution, triangular distribution.
 input modeling: data collection; identifying the distribution with data; parameter estimation;
goodness of fit tests; selecting input models without data.
 verification, calibration, validation and optimizationmodel building, verification and validation; verification of simulation models; calibration andvalidation of models, input-output validation using historical input data"
storage area networks:," introduction to information storage and management:: information storage, evolution ofstorage technology and architecture , data centre infrastructure , key challenges in managinginformation , information lifecycleconcepts of storage networking: data storage and data access problemunit ii data protection: raid 5: implementation of raid, raid array components , raid levels ,
raid comparison , raid impact on disk performance ,hot sparesunit iii storage area networks: fibre channel,the san and its evolution , components of san , fcconnectivity.
network attached storage: general-purpose servers vs. nas devices , benefits of nas , nasfile i/o , components of nasunit iv storage virtualization: definition of storage virtualization, implementation considerations,
storage virtualization on block or file level, storage virtualization on various levels of the storagenetwork, symmetric and asymmetric storage virtualization in the networkunit v application and case studies of storage area networks: applying the san to olt p workloads,
applying san to web based applications, applying san to data ware house models. case study:
the import auto industry"
agile software development:," introduction: understanding success, beyond deadlines, the importance of organizationalsuccess, enter agility, agile methods, don’t make your own method, the road to mastery,
find a mentor, the xp lifecycle, the xp team, xp concepts, adopting x.punit - ii thinking: pair programming, energized work, informative workspace, root-cause analysis,
retrospectives, collaborating: trust, impressions, sit together, real customer involvement,
ubiquitous language, stand-up meetings, iteration demo, reporting.
unit - iii releasing: nobugs, version control, ten-minute build, continuous integration, collective codeownership and documentation.
unit - iv planning: vision, release planning, the planning game, risk management, iteration planning,
slack, stories, estimating.
unit - v developing: incremental requirements, customer tests, test-driven development,
refactoring, simple design, incremental design and architecture, spike solutions, performanceoptimization, exploratory testing"
service oriented architecture:," introduction to soa: fundamental soa- common misperceptions about soa- common tangiblebenefits of soa- common pitfalls of adopting soa. the evolution of soa:-from xml to webservices to soa, comparing soa with n-tier architecture, the continuing evolution of soa, theroots of soa web services and primitive soa: the web services framework- services, service descriptions,
messaging with soap. web services and contemporary soa: message exchange patterns- serviceactivity coordination- atomic transactions- business activities-orchestration-choreography.
 service orientation and security: web services and contemporary soa: addressing- reliablemessaging- correlation- policies metadata exchange- security- notification and eventing. soa andservice-orientation: principles of service-orientation-service-orientation. anatomy of a service-
oriented architecture- common principle of service-orientation-service layers –service orientation building soa: soa delivery strategies- soa delivery lifecycle phases. service-orientedanalysis: introduction to service-oriented analysis- benefits of a business-centric soa derivingbusiness services- service- oriented analysis: service modeling, service modeling guidelines-
classifying service model logic- contrasting service modeling approaches service-oriented design: introduction to service-oriented design- wsdl-related xml schemalanguage basics- wsdl language basics- soap language basics- service interface, design tools.
soa composition guidelines: steps to composing soa considerations for choosing service layersand soa standards, positioning of cores and soa extensions."
