|Doctorate :|Job Applicants:|Openings:|PG :|Posted:|UG :|experience|job_desc|key_skills|position|salary
622||Less than 10|1|Any Postgraduate|26 days ago|Any Graduate|3 - 5 years|"Job description
To analyze, design, develop, test and implement complex applications in accordance with agreed to specifications, agreed to project plan, and to TS standards. This position also includes responsibility in coordinating small segments of programming efforts and interacting with user areas to correct or modify existing systems. The role will operate within a cross-functional team environment.
Key responsibilities
Ability to guide, manage backend and front end developers through a project.
Focused on results and delivering key features to the project users.
Ability to manage a project and intervene at all levels of the project to make sure the project runs smoothly: Talk to users, create requirements, create technical requirements, review implementation and make sure conform to quality standards, help with testing.
Proficient in timely and efficient communication is a must.
Analysis, design, development, testing and implementation of applications using key skills in a cross-functional team, project based environment.
Contributing to and review of functional, design and technical documentation and specifications, and to project plans.
Attending and contributing to code and design reviews. Ensuring changes are carried out as a result of these reviews.
Ensure that all tasks undertaken are completed to a quality standard. This includes delivery on time, within budget, and to specification.
Maintain and optimise existing programs, working within a development team to develop additional functionality to existing systems.
To deputise for team members / your line manager as and when required.
To take responsibility for identifying training and developmental needs for yourself on an on-going basis.
To make positive efforts to promote personal safety and that of others by taking reasonable care at work, by carrying out the requirements of the law or following recognised codes of practice provided or advised by management to ensure safe working practices.
To undertake any other reasonable duties as requested by your line manager/director on a permanent or temporary basis.
RoleSystem Analyst
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
BackendQuality standardsFront enddevelopment testingStock exchangeIntellectual propertyDesign developmentProject planningManagementTechnical documentation"|['Backend', 'Quality standards', 'Front end', 'development testing', 'Stock exchange', 'Intellectual property', 'Design development', 'Project planning', 'Management', 'Technical documentation']|Technical Lead|Not Disclosed
623||15|1|Any Postgraduate|26 days ago|B.Tech/B.E. in Any Specialization, Diploma in Mechanical|5 - 8 years|"Job description
1. Drive home connect and care operations in the assigned territory
2. Source and train technicians by teeing up with target colleges
3. Conduct classroom and on the job trainings for technicians
4. Mentor and guide technicians to enhance productivity
5. Ensure zero defect execution of home connect activity
6. Drive home connect installation and fault repair related SLA
7. Ensure customer satisfaction
8. Ensure adherence to processes as per company defined SLAs


Skills Competencies :
1. Product service knowledge
2. Knowledge of IT tools usage
3. Speak local language
4. Planning and organizing skills
5. Team Management Skills
6. Execution excellence
7. Communication skills
8. Coaching skills
9. Customer focus
RoleService/Maintenance Supervisor
Industry TypeTelecom / ISP
Functional AreaProduction, Manufacturing, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProduction/Manufacturing/Maintenance
Education
UG :B.Tech/B.E. in Any Specialization, Diploma in Mechanical
PG :Any Postgraduate
Key Skills
SupervisorTrainingTeam managementProduct serviceCustomer satisfactionMentorSLAS"|['Supervisor', 'Training', 'Team management', 'Product service', 'Customer satisfaction', 'Mentor', 'SLAS']|JC Home Connect Master Supervisor A & B|Not Disclosed
624|Doctorate Not Required|Less than 10||MCA in Computers|25 days ago|B.Tech/B.E. in Any Specialization|3 - 7 years|"Job description
Hiring Software Professionals for a Reputed/MNC company located at Mohali. Skill Set: Git, SQL, Agile, Functional programming, Elixir, ELM Experience: Around 3-8 Years Job Description: As a developer, you would be developing responsive design web applications for company using a leading-edge stack consisting of Elixir / Phoenix on the backend, and Elm on the Front-End. Prior knowledge of any of those languages is NOT a prerequisite, but significant experience working throughout a modern web stack is. Technologies: Elixir, ELM, Ecto, Phoenix Elixir: Elixir is a functional language designed for building scalable and maintainable applications. Think of it as a highly scalable version of Ruby that runs on the Erlang VM, both of which WhatsApp and the Facebook Messenger were built on to support millions of simultaneous connections, extracting the most of any server infrastructure. ELM: Elm is “A delightful language for reliable webapps”, as it compiles to Javascript, has great performance but without having runtime exceptions! It’s the language of the modern web and a purely functional language. Ecto: Ecto is a powerful database wrapper and integrated query language for Elixir. The best thing is that it abstracts SQL databases and allows you to connect them into a true polyglot architecture! Whether it’s Postgres, SQL Server, MySQL, or any other supported SQL platform.
Qualification: B.Tech / MCA
Primary Responsibilities:
Work in a fast-paced Agile environment.
Work closely with product owner, scrum master, developers and testers in a SCRUM environment.
Commit to and produce quality code for the application in a given Sprint.
Clearly and regularly communicate with management and technical support colleagues.
Ability and willingness to grasp new technologies quickly and apply them in production.
Cognizant about the performance of the application when writing the code.
Skill Required:
Passion and love for coding and software development
Passion to learn and execute and be exposed to new technology throughout your career
Strong problem solving and logical skills
An aptitude or interest in functional programming, and working with the latest gen technology.
Clear understanding of building blocks and basic fundamentals of Web application development
Excellent collaborative and interpersonal skills and ability to work in a team setting
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :MCA in Computers
Doctorate :Doctorate Not Required
Key Skills
Software DevelopmentFront EndPostgresqlWeb TechnologiesMySQLJavascriptWeb Application DevelopmentPostgresRubyElixir"|['Software Development', 'Front End', 'Postgresql', 'Web Technologies', 'MySQL', 'Javascript', 'Web Application Development', 'Postgres', 'Ruby', 'Elixir']|WI - Software Developer (Full Stack)|Not Disclosed
625||22|||25 days ago|Any Graduate|3 - 5 years|"Job description
Dear candidate ,
IDC Technologies Inc, established in year 2003, headquartered in Silicon Valley, California, USA with branch offices in Dallas, TX & Irvine, CA & has international presence in Mexico, UAE, Canada, India. We provide effective business solutions in IT Consulting & Staff Augmentation, Project Management, Product Engineering and Business Process Outsourcing Services. IDC provides consulting and IT services to clients globally - as partners to conceptualize and realize technology driven business transformation initiatives. With a world-class infrastructure and a global network, IDC offers a wide array of solutions for a range of key verticals and horizontals; starting from the strategy consulting right through to implementing IT solutions for clients. We provide solutions for a dynamic environment where business and technology strategies converge. Our approach focuses on new ways of business combining IT innovation and adoption while also leveraging an organization's current IT assets. As a diverse end-to-end IT solutions provider, the company offers a range of expertise aimed at helping customers re-engineer and re-invent their businesses to compete successfully in an ever-changing marketplace. Our onsite and offshore development model allows us to leverage local competencies to offer global competitiveness to our clients ensuring high quality, on time delivery, at significantly reduced costs. We use a low-risk Model to accelerate schedules with a high degree of time and cost predictability.
Position Details:
Skills :
Mode : Contract To Hire(C2H).
Work Location:
Experience :
If you are interested, Kindly share me your updated CV with below details.
While replying don't change the subject of the mail
Personal & Employment details
Full name (As per the AAdhar Card):
DOB:
PAN Card number:
Contact number:
Alternate number:
Email id:
PAN Card: is mandatory along with Passport size Photo:
Total Exp & Rel Exp:
Current Payroll company:
Current CTC:
Expected CTC:
Official notice period:
Negotiable notice Period:
Qualification & persentage & Passed out Year & university :
Current location
Preferred location:
Why are you looking for job change:
Holding any offers (If yes, mention package and LWD):
If you are working contract (Let me know the payroll company details )Roles and Responsibilities


Desired Candidate Profile


Perks and Benefits


RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
DjangoPython"|['Django', 'Python']|Python Developer Opoening with Top MNC|Not Disclosed
626||Less than 10|||25 days ago|Any Graduate|3 - 7 years|"Job description
Dear candidate ,
IDC Technologies Inc, established in year 2003, headquartered in Silicon Valley, California, USA with branch offices in Dallas, TX & Irvine, CA & has international presence in Mexico, UAE, Canada, India. We provide effective business solutions in IT Consulting & Staff Augmentation, Project Management, Product Engineering and Business Process Outsourcing Services. IDC provides consulting and IT services to clients globally - as partners to conceptualize and realize technology driven business transformation initiatives. With a world-class infrastructure and a global network, IDC offers a wide array of solutions for a range of key verticals and horizontals; starting from the strategy consulting right through to implementing IT solutions for clients. We provide solutions for a dynamic environment where business and technology strategies converge. Our approach focuses on new ways of business combining IT innovation and adoption while also leveraging an organization's current IT assets. As a diverse end-to-end IT solutions provider, the company offers a range of expertise aimed at helping customers re-engineer and re-invent their businesses to compete successfully in an ever-changing marketplace. Our onsite and offshore development model allows us to leverage local competencies to offer global competitiveness to our clients ensuring high quality, on time delivery, at significantly reduced costs. We use a low-risk Model to accelerate schedules with a high degree of time and cost predictability.
Position Details:
Skills :
Mode : Contract To Hire(C2H).
Work Location:
Experience :
If you are interested, Kindly share me your updated CV with below details.
While replying don't change the subject of the mail
Personal & Employment details
Full name (As per the AAdhar Card):
DOB:
PAN Card number:
Contact number:
Alternate number:
Email id:
PAN Card: is mandatory along with Passport size Photo:
Total Exp & Rel Exp:
Current Payroll company:
Current CTC:
Expected CTC:
Official notice period:
Negotiable notice Period:
Qualification & persentage & Passed out Year & university :
Current location
Preferred location:
Why are you looking for job change:
Holding any offers (If yes, mention package and LWD):
If you are working contract (Let me know the payroll company details )Roles and Responsibilities


Desired Candidate Profile


Perks and Benefits


RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
JavaHibernateJ2EeSpring"|['Java', 'Hibernate', 'J2Ee', 'Spring']|Java Developer Openings withTop MNC|Not Disclosed
627||Less than 10|||25 days ago|Any Graduate|3 - 7 years|"Job description
Roles a
Dear candidate ,
IDC Technologies Inc, established in year 2003, headquartered in Silicon Valley, California, USA with branch offices in Dallas, TX & Irvine, CA & has international presence in Mexico, UAE, Canada, India. We provide effective business solutions in IT Consulting & Staff Augmentation, Project Management, Product Engineering and Business Process Outsourcing Services. IDC provides consulting and IT services to clients globally - as partners to conceptualize and realize technology driven business transformation initiatives. With a world-class infrastructure and a global network, IDC offers a wide array of solutions for a range of key verticals and horizontals; starting from the strategy consulting right through to implementing IT solutions for clients. We provide solutions for a dynamic environment where business and technology strategies converge. Our approach focuses on new ways of business combining IT innovation and adoption while also leveraging an organization's current IT assets. As a diverse end-to-end IT solutions provider, the company offers a range of expertise aimed at helping customers re-engineer and re-invent their businesses to compete successfully in an ever-changing marketplace. Our onsite and offshore development model allows us to leverage local competencies to offer global competitiveness to our clients ensuring high quality, on time delivery, at significantly reduced costs. We use a low-risk Model to accelerate schedules with a high degree of time and cost predictability.
Position Details:
Skills :
Mode : Contract To Hire(C2H).
Work Location:
Experience :
If you are interested, Kindly share me your updated CV with below details.
While replying don't change the subject of the mail
Personal & Employment details
Full name (As per the AAdhar Card):
DOB:
PAN Card number:
Contact number:
Alternate number:
Email id:
PAN Card: is mandatory along with Passport size Photo:
Total Exp & Rel Exp:
Current Payroll company:
Current CTC:
Expected CTC:
Official notice period:
Negotiable notice Period:
Qualification & persentage & Passed out Year & university :
Current location
Preferred location:
Why are you looking for job change:
Holding any offers (If yes, mention package and LWD):
If you are working contract (Let me know the payroll company details )nd Responsibilities


Desired Candidate Profile


Perks and Benefits


RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
JCLDb2Cobol"|['JCL', 'Db2', 'Cobol']|Mainframe Developer Openings with Top MNC|Not Disclosed
628||Less than 10|||25 days ago||3 - 8 years|"Job description
Roles and Responsibilities
Dear candidate ,
IDC Technologies Inc, established in year 2003, headquartered in Silicon Valley, California, USA with branch offices in Dallas, TX & Irvine, CA & has international presence in Mexico, UAE, Canada, India. We provide effective business solutions in IT Consulting & Staff Augmentation, Project Management, Product Engineering and Business Process Outsourcing Services. IDC provides consulting and IT services to clients globally - as partners to conceptualize and realize technology driven business transformation initiatives. With a world-class infrastructure and a global network, IDC offers a wide array of solutions for a range of key verticals and horizontals; starting from the strategy consulting right through to implementing IT solutions for clients. We provide solutions for a dynamic environment where business and technology strategies converge. Our approach focuses on new ways of business combining IT innovation and adoption while also leveraging an organization's current IT assets. As a diverse end-to-end IT solutions provider, the company offers a range of expertise aimed at helping customers re-engineer and re-invent their businesses to compete successfully in an ever-changing marketplace. Our onsite and offshore development model allows us to leverage local competencies to offer global competitiveness to our clients ensuring high quality, on time delivery, at significantly reduced costs. We use a low-risk Model to accelerate schedules with a high degree of time and cost predictability.
Position Details:
Skills :
Mode : Contract To Hire(C2H).
Work Location:
Experience :
If you are interested, Kindly share me your updated CV with below details.
While replying don't change the subject of the mail
Personal & Employment details
Full name (As per the AAdhar Card):
DOB:
PAN Card number:
Contact number:
Alternate number:
Email id:
PAN Card: is mandatory along with Passport size Photo:
Total Exp & Rel Exp:
Current Payroll company:
Current CTC:
Expected CTC:
Official notice period:
Negotiable notice Period:
Qualification & persentage & Passed out Year & university :
Current location
Preferred location:
Why are you looking for job change:
Holding any offers (If yes, mention package and LWD):
If you are working contract (Let me know the payroll company details )



RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Temporary/Contractual
Role CategoryProgramming & Design
Education
Does Not Matter
Key Skills
Snowflake developerKafka developer"|[]|Kafka & Snowflake developer|Not Disclosed
629||Less than 10||Any Postgraduate|25 days ago|Any Graduate|2 - 7 years|"Job description
Roles and Responsibilities
Dear candidate ,
IDC Technologies Inc, established in year 2003, headquartered in Silicon Valley, California, USA with branch offices in Dallas, TX & Irvine, CA & has international presence in Mexico, UAE, Canada, India. We provide effective business solutions in IT Consulting & Staff Augmentation, Project Management, Product Engineering and Business Process Outsourcing Services. IDC provides consulting and IT services to clients globally - as partners to conceptualize and realize technology driven business transformation initiatives. With a world-class infrastructure and a global network, IDC offers a wide array of solutions for a range of key verticals and horizontals; starting from the strategy consulting right through to implementing IT solutions for clients. We provide solutions for a dynamic environment where business and technology strategies converge. Our approach focuses on new ways of business combining IT innovation and adoption while also leveraging an organization's current IT assets. As a diverse end-to-end IT solutions provider, the company offers a range of expertise aimed at helping customers re-engineer and re-invent their businesses to compete successfully in an ever-changing marketplace. Our onsite and offshore development model allows us to leverage local competencies to offer global competitiveness to our clients ensuring high quality, on time delivery, at significantly reduced costs. We use a low-risk Model to accelerate schedules with a high degree of time and cost predictability.
Position Details:
Skills :
Mode : Contract To Hire(C2H).
Work Location:
Experience :
If you are interested, Kindly share me your updated CV with below details.
While replying don't change the subject of the mail
Personal & Employment details
Full name (As per the AAdhar Card):
DOB:
PAN Card number:
Contact number:
Alternate number:
Email id:
PAN Card: is mandatory along with Passport size Photo:
Total Exp & Rel Exp:
Current Payroll company:
Current CTC:
Expected CTC:
Official notice period:
Negotiable notice Period:
Qualification & persentage & Passed out Year & university :
Current location
Preferred location:
Why are you looking for job change:
Holding any offers (If yes, mention package and LWD):
If you are working contract (Let me know the payroll company details )



RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Temporary/Contractual
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Sharepoint Development"|['Sharepoint Development']|Sharepoint developer|Not Disclosed
630||48|||25 days ago||3 - 8 years|"Job description
Roles and Responsibilities
Dear candidate ,
IDC Technologies Inc, established in year 2003, headquartered in Silicon Valley, California, USA with branch offices in Dallas, TX & Irvine, CA & has international presence in Mexico, UAE, Canada, India. We provide effective business solutions in IT Consulting & Staff Augmentation, Project Management, Product Engineering and Business Process Outsourcing Services. IDC provides consulting and IT services to clients globally - as partners to conceptualize and realize technology driven business transformation initiatives. With a world-class infrastructure and a global network, IDC offers a wide array of solutions for a range of key verticals and horizontals; starting from the strategy consulting right through to implementing IT solutions for clients. We provide solutions for a dynamic environment where business and technology strategies converge. Our approach focuses on new ways of business combining IT innovation and adoption while also leveraging an organization's current IT assets. As a diverse end-to-end IT solutions provider, the company offers a range of expertise aimed at helping customers re-engineer and re-invent their businesses to compete successfully in an ever-changing marketplace. Our onsite and offshore development model allows us to leverage local competencies to offer global competitiveness to our clients ensuring high quality, on time delivery, at significantly reduced costs. We use a low-risk Model to accelerate schedules with a high degree of time and cost predictability.
Position Details:
Skills :
Mode : Contract To Hire(C2H).
Work Location:
Experience :
If you are interested, Kindly share me your updated CV with below details.
While replying don't change the subject of the mail
Personal & Employment details
Full name (As per the AAdhar Card):
DOB:
PAN Card number:
Contact number:
Alternate number:
Email id:
PAN Card: is mandatory along with Passport size Photo:
Total Exp & Rel Exp:
Current Payroll company:
Current CTC:
Expected CTC:
Official notice period:
Negotiable notice Period:
Qualification & persentage & Passed out Year & university :
Current location
Preferred location:
Why are you looking for job change:
Holding any offers (If yes, mention package and LWD):
If you are working contract (Let me know the payroll company details )



RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Temporary/Contractual
Role CategoryProgramming & Design
Education
Does Not Matter
Key Skills
Snowflake developerKafka developer"|[]|Kafka & Snowflake developer|Not Disclosed
631||153||Any Postgraduate|25 days ago|Any Graduate|3 - 8 years|"Job description
Roles and Responsibilities
Dear candidate ,
IDC Technologies Inc, established in year 2003, headquartered in Silicon Valley, California, USA with branch offices in Dallas, TX & Irvine, CA & has international presence in Mexico, UAE, Canada, India. We provide effective business solutions in IT Consulting & Staff Augmentation, Project Management, Product Engineering and Business Process Outsourcing Services. IDC provides consulting and IT services to clients globally - as partners to conceptualize and realize technology driven business transformation initiatives. With a world-class infrastructure and a global network, IDC offers a wide array of solutions for a range of key verticals and horizontals; starting from the strategy consulting right through to implementing IT solutions for clients. We provide solutions for a dynamic environment where business and technology strategies converge. Our approach focuses on new ways of business combining IT innovation and adoption while also leveraging an organization's current IT assets. As a diverse end-to-end IT solutions provider, the company offers a range of expertise aimed at helping customers re-engineer and re-invent their businesses to compete successfully in an ever-changing marketplace. Our onsite and offshore development model allows us to leverage local competencies to offer global competitiveness to our clients ensuring high quality, on time delivery, at significantly reduced costs. We use a low-risk Model to accelerate schedules with a high degree of time and cost predictability.
Position Details:
Skills :
Mode : Contract To Hire(C2H).
Work Location:
Experience :
If you are interested, Kindly share me your updated CV with below details.
While replying don't change the subject of the mail
Personal & Employment details
Full name (As per the AAdhar Card):
DOB:
PAN Card number:
Contact number:
Alternate number:
Email id:
PAN Card: is mandatory along with Passport size Photo:
Total Exp & Rel Exp:
Current Payroll company:
Current CTC:
Expected CTC:
Official notice period:
Negotiable notice Period:
Qualification & persentage & Passed out Year & university :
Current location
Preferred location:
Why are you looking for job change:
Holding any offers (If yes, mention package and LWD):
If you are working contract (Let me know the payroll company details )



RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Temporary/Contractual
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Mobility testingPerformance testing"|['Performance testing']|Mobility & Performance testing|Not Disclosed
632||49||Any Postgraduate|25 days ago|Any Graduate|2 - 7 years|"Job description
Roles and Responsibilities
Dear candidate ,
IDC Technologies Inc, established in year 2003, headquartered in Silicon Valley, California, USA with branch offices in Dallas, TX & Irvine, CA & has international presence in Mexico, UAE, Canada, India. We provide effective business solutions in IT Consulting & Staff Augmentation, Project Management, Product Engineering and Business Process Outsourcing Services. IDC provides consulting and IT services to clients globally - as partners to conceptualize and realize technology driven business transformation initiatives. With a world-class infrastructure and a global network, IDC offers a wide array of solutions for a range of key verticals and horizontals; starting from the strategy consulting right through to implementing IT solutions for clients. We provide solutions for a dynamic environment where business and technology strategies converge. Our approach focuses on new ways of business combining IT innovation and adoption while also leveraging an organization's current IT assets. As a diverse end-to-end IT solutions provider, the company offers a range of expertise aimed at helping customers re-engineer and re-invent their businesses to compete successfully in an ever-changing marketplace. Our onsite and offshore development model allows us to leverage local competencies to offer global competitiveness to our clients ensuring high quality, on time delivery, at significantly reduced costs. We use a low-risk Model to accelerate schedules with a high degree of time and cost predictability.
Position Details:
Skills :
Mode : Contract To Hire(C2H).
Work Location:
Experience :
If you are interested, Kindly share me your updated CV with below details.
While replying don't change the subject of the mail
Personal & Employment details
Full name (As per the AAdhar Card):
DOB:
PAN Card number:
Contact number:
Alternate number:
Email id:
PAN Card: is mandatory along with Passport size Photo:
Total Exp & Rel Exp:
Current Payroll company:
Current CTC:
Expected CTC:
Official notice period:
Negotiable notice Period:
Qualification & persentage & Passed out Year & university :
Current location
Preferred location:
Why are you looking for job change:
Holding any offers (If yes, mention package and LWD):
If you are working contract (Let me know the payroll company details )



RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Temporary/Contractual
Role CategoryProgramming & Design
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Sharepoint Development"|['Sharepoint Development']|Sharepoint developer|Not Disclosed
633||58|||8 days ago|B.Tech/B.E. in Any Specialization|3 - 6 years|"Job description

Webscale is the E-Commerce Cloud company. We are the only multi-cloud solution that enables e-commerce businesses to rapidly migrate their storefronts to the cloud, enabling 100% uptime at peak demand. The E-Commerce Cloud platform delivers enhanced visibility and control over web applications, as well as improved security, performance and user experience, designed to help e-commerce businesses focus on building their brands, not managing their infrastructure. The worlds leading experts in cloud technology and e-commerce platforms, Webscale keeps users loyal and engaged by delivering a fast, reliable and secure web presence. Webscale has offices in Silicon Valley, CA, Boulder, CO and Bangalore, India.

Title: Backend/Full Stack Web Developer
Location: Bangalore

Job Description:
We are looking for a Backend/Full Stack Web Developer to join our fast paced, fun, and motivated team. This is a one of a kind opportunity to bring your passion for writing high quality software in collaboration with a fantastic and supportive group of engineers. You will have the opportunity to let your abilities shine and be involved in the entire software development cycle, from design to release. You will be collaborating closely with product management and customer support teams to find the best solutions for real client requirements. Then you will bring these solutions to life by architecting and implementing the design all the way to production. You'll have an active role in defining the APIs, user interactions as well as the aesthetics of the entire application.

Minimum requirements:
MS in computer science or a related technical field or equivalent practical experience.
1-6 years coding in C/C++/Golang or other compiled languages.
Professional experience with at least two additional languages.
Good problem solving, analytical, and troubleshooting skills.
Knowledge of TCP and HTTP protocols.
Experience developing in a Linux environment.

Job responsibilities:
Be an extraordinary programmer
Make sound technical decisions as the need arises
Design, implement, and test distributed control function in our Ruby-based Control Plane.
Implement RESTful API to support new features.
Cloud API enhancements for AWS EC2, Google Compute and all major cloud service providers.
Develop and maintain our next-generation Go-based HTTP proxy (data plane) that enhances and protects e-commerce (customers) sites.
RoleSoftware Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
Key Skills
Troubleshooting SkillsSoftware DevelopmentProduct Managementc++CLinuxWeb TechnologiesCloudComputer SciencegolangProgrammingWeb Development"|['Troubleshooting Skills', 'Software Development', 'Product Management', 'c++', 'C', 'Linux', 'Web Technologies', 'Cloud', 'Computer Science', 'Programming', 'Web Development']|Golang /C++ Developer with Ruby|₹ 5,00,000 - 12,00,000 P.A.
634||73|||25 days ago|Any Graduate|8 - 10 years|"Job description

Desired Candidate Profile

Strong knowledge in Data Warehouse concepts and data modeling experience(4-5 years)
Minimum 2 years of SSAS Tabular Model Developement Experience is mandatory.
Should have good knowledge in PowerBI dashboard creation. (2-3 years experience)
Should be strong in writing DAX expressions.
Should have good knowledge in Azure Data Factory
Should be strong in writing SQL queries to implement complex business logics.
Should have good knowledge in SSIS package creation and deployement

RoleTeam Lead/Technical Lead
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
Azure Data FactorySSASMSBISQL QueriesDaxData WarehousingData ModelingSSIS"|['SSAS', 'MSBI', 'SQL Queries', 'Data Warehousing', 'Data Modeling', 'SSIS']|MSBI Lead|₹ 10,00,000 - 12,00,000 P.A.
635||546|5||15 days ago|Any Graduate|5 - 10 years|"Job description
Greetings from Photon ! !



We have urgent opening for UiPath Developer





Title: UiPath Developer

Must Have Skills:
- UiPath Studio
- UiPath Orchestrator
- SQL Queries
- Excellent communication & Presentation Skill
- Toubleshooting Skills
Should Have Skills:
- .NET (C#, VB, etc), VBA
- Versioning tools (SVN/Git/TFS)
- VISIO
- JIRA
Could Have Skills:
- New Features of UiPath RPA (UiPath Assistant, Picture-in- Picture, Widgets)

Experience: 6+ Years Overall , 2+ Years in UiPath

Job Location: Bangalore,Chennai , WFH till Pandemic

Notice period: Immediate to 15 Days Preferred

If Interested or like to refer a friend , Kindly send a mail with the below details and resume to nishanth.r@photon.in

Current CTC :
Expected CTC :
Notice Period :
Location Preference :



RoleTesting Engineer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
VisioJIRAUipath"|['Visio', 'JIRA']|Immediate opening For UiPath Developer|₹ 5,00,000 - 15,00,000 P.A.
636|Doctorate Not Required|120|3|Post Graduation Not Required|12 days ago|B.Tech/B.E. in Any Specialization|7 - 10 years|"Job description
Roles and Responsibilities
QUALIFICATIONS
Minimum 7 years hands-on experience in Android development.
Strong understanding of Object-Oriented Programming and language-agnostic design patterns.
Team player and driven towards self-improvement, development, and achievement.
Design, build, and maintain high performance, reusable, and reliable
Ensure the best possible performance, quality, and responsiveness of the application
Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes
Familiarity with RESTful APIs to connect Android applications to back-end services
Strong knowledge of Android UI design principles, patterns, and best practices
Experience with offline storage, threading, and performance tuning
Knowledge of the open-source Android ecosystem and the libraries available for common tasks
Ability to understand business requirements and translate them into technical requirements
Familiarity with cloud message APIs and push notifications
A knack for benchmarking and optimization
Understanding of Google’s Android design principles and interface guidelines
Proficient understanding of code versioning tools, such as Git
Familiarity with continuous integration
Point of sales system experience is a plus
Personable team player and easy to work with is a must


Desired Candidate Profile
Passionate for working for a Product driven organisation.
Make a change attitude and out of the box thinker.
Team Player and Motivator.
Technology Savvy
Enthusiast for learning new technologies and implementing in product.


Perks and Benefits

Employee Family Insurance 
Remote working
Meal Card option for Tax savings
Reimbursement of Internet bill while WFH.
Rewards and Recognitions

RoleTeam Lead/Technical Lead
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :B.Tech/B.E. in Any Specialization
PG :Post Graduation Not Required
Doctorate :Doctorate Not Required
Key Skills
Design PrinciplesDesign PatternsContinuous IntegrationAndroid DevelopmentUser Interface DesigningAndroid SDKObject Oriented ProgrammingPerformance TuningHotelKotlin"|['Design Patterns', 'Continuous Integration', 'Android Development', 'User Interface Designing', 'Android SDK', 'Object Oriented Programming', 'Performance Tuning', 'Hotel']|Senior Android Developer|₹ 9,50,000 - 19,50,000 P.A.
637||46|||25 days ago|Any Graduate|5 - 9 years|"Job description

Desired Candidate Profile :
- Should have total experience of atleast 5-9 years

- Should have knowledge of HTML5, CSS3, SASS, OOJS, JQuery, ES6 Typescript

- Experience in REACT

- Should have experience in automation and bundling FE code with popular tools such as Gulp, Webpack and NodeJS

- Should know performance optimization techniques and best practices, where and how to implement them

- Should be hands-on in performance debugging and optimization tools, like Chrome Dev Tools, Lighthouse and WPT

- Should be equipped to review complex code and know basic principles such as DRY and SOLID

RoleGraphic/Web Designer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate
Key Skills
UI DevelopmentREACTUI developer"|['UI Development', 'UI developer']|UI Developer|₹ 10,00,000 - 12,00,000 P.A.
