|position|salary|experience|job_desc|Posted:|Openings:|Job Applicants:|key_skills|UG :|PG :|Doctorate :
418|Associate Software Developer|Not Disclosed|0 - 1 years|"Job description
Job Title: IcruxSystem - Associate Software Developer (Fresher)
Job Skills :

- C, Core Java, Strong knowledge in OOPs concepts, C++, HTML, CSS, SQL

- Logical and analytical thinking towards programming

- Should have designed at least one project module using object oriented analysis and design techniques

- Sound knowledge of modern software architecture and development techniques

- Should be a self-initiator and interested in learning new technologies

Job Description :

- Execute full software development life cycle (SDLC)

- Code, test and troubleshoot programs utilizing the appropriate framework, database, and programming technology

- Develop flowcharts, layouts and documentation to identify requirements and solutions

- Write quality and clean code using prescribed specifications

- Evaluate simple interrelationships between programs.

- Analyse performance of programs and take action to correct deficiencies based on consultation with users and approval of supervisor

- Confer with users to gain understanding of needed changes or modifications of existing programs

- Resolve questions of program intent, data input, output requirements, and inclusion of internal checks and controls Roles and Responsibilities


RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :BCA in Computers, B.Tech/B.E. in Electronics/Telecommunication, Computers, B.Sc in Computers
PG :MCA in Any Specialization
Key Skills
JavaSoftware DevelopmentSQL
CSSC++OOPSHTMLSDLC Life Cycle
Skills highlighted with ‘‘ are preferred keyskills"|6 days ago||3622|['Java', 'Software Development', 'SQL', 'CSS', 'C++', 'OOPS', 'HTML', 'SDLC Life Cycle']|BCA in Computers, B.Tech/B.E. in Electronics/Telecommunication, Computers, B.Sc in Computers|MCA in Any Specialization|
419|Full stack Developer|Not Disclosed|0 - 5 years|"Job description
5- 7 years of experience as a full stack developer, working across all layers of the application stack
Should have worked on web front-end frameworks like: AngularJS/ReactJS jQuery
Should have worked on the following Dot net technologies: WCF, MVC, Rest, Core, MQ, SQL Server
Should have worked in an Agile delivery environment and is familiar with responsibilities of a developer in such teams
Should have experience with unit test automation with tools like Nunit, Moq or equivalent frameworks
Any experience developing cloud and or mobile applications will be an added advantage
Any experience with cloud platforms such as Azure, AWS or equivalent is preferred.
Any experience with continuous delivery and DevOps processes will be nice to have

.net,Angular, JAVA script task,React JS and Node JS
RoleBack End Developer
Industry TypeRecruitment / Staffing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
NUnitAutomation testingjQueryFront endAgile.NetWCFMVCMobile applicationsSQL"|30+ days ago|1|480|['NUnit', 'Automation testing', 'jQuery', 'Front end', 'Agile', '.Net', 'WCF', 'MVC', 'Mobile applications', 'SQL']|Any Graduate|Post Graduation Not Required|
420|Internship for Full Stack Java Developer|Not Disclosed|0 years|"Job description
KEY RESPONSIBILITY:
Understand business change requirements Development and design of J2EE applications, reusable interfaces and Web Services end points Unit testing
Maintain and document software functionality
Adherence to quality guidelines and maintain coding standards compliance
Meet expected release timelines
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
HibernateWeb servicesComplianceInternCodingMySQLDatabaseJ2EeUnit testingInternship"|30+ days ago|1|2738|['Hibernate', 'Web services', 'Compliance', 'Coding', 'MySQL', 'Database', 'J2Ee', 'Unit testing', 'Internship']|Any Graduate|Post Graduation Not Required|
421|UI Full Stack Developer|₹ 1,75,000 - 3,00,000 P.A.|0 - 1 years|"Job description
As a Software Developer you would be responsible for developing Applications for our inhouse Products and/or Client Requirements.
Coordinating with co-developers and other related departments.
RoleSoftware Development - Other
Industry TypeSoftware Product
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :MCA in Any Specialization
Key Skills
HTML5JavaScriptAngularNodeJSCSS3
TypeScriptjQuerySource ControlBootstrapAPITesting
Skills highlighted with ‘‘ are preferred keyskills"|10 days ago|40|628|['HTML5', 'JavaScript', 'CSS3', 'jQuery', 'Bootstrap', 'API', 'Testing']|Any Graduate|MCA in Any Specialization|
422|UI Full Stack Developer|₹ 1,75,000 - 3,00,000 P.A.|0 - 5 years|"Job description
As a Software Developer you would be responsible for developing Applications for our inhouse Products and/or Client Requirements.

Coordinating with co-developers and other related department.
RoleSoftware Development - Other
Industry TypeEducation / Training
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :MCA in Any Specialization
Key Skills
Angular
Css/Css3html5Typescriptsource controltestingNodejs ScriptingJavascriptAPIbootstraJQuery
Skills highlighted with ‘‘ are preferred keyskills"|10 days ago|40|438|['html5', 'testing', 'Javascript', 'API', 'JQuery']|Any Graduate|MCA in Any Specialization|
423|Java Full Stack Developer|₹ 1,75,000 - 3,00,000 P.A.|0 - 1 years|"Job description
As a Software Developer you would be responsible for Developing applications for our inhouse Products and/or Client Requirements.
Coordinating with co-developers and other related department.
RoleSoftware Development - Other
Industry TypeSoftware Product
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :MCA in Any Specialization
Key Skills
Spring BootCSS3HTML5BootstrapJava/J2SE
TomcatSource ControlRESTjQueryMySQLJavaScriptAPITesting
Skills highlighted with ‘‘ are preferred keyskills"|10 days ago|40|1019|['Spring Boot', 'CSS3', 'HTML5', 'Bootstrap', 'Tomcat', 'REST', 'jQuery', 'MySQL', 'JavaScript', 'API', 'Testing']|Any Graduate|MCA in Any Specialization|
424|Java Full Stack Developer|₹ 1,75,000 - 3,00,000 P.A.|0 - 1 years|"Job description
As a Software Developer you would be responsible for developing Applications for our Inhouse Products and/or Client Requirements.
Coordinating with co-developers and other related departments
RoleSoftware Development - Other
Industry TypeSoftware Product
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :MCA in Any Specialization
Key Skills
JavaSpring BootREST apiRest Api DevelopmentJ2Se
tomcatSource Control ManagementHtml5BJQueryCss/Css3source conMySQLJavascriptBootstrapTesting Concepts
Skills highlighted with ‘‘ are preferred keyskills"|11 days ago|40|1305|['Java', 'Spring Boot', 'J2Se', 'tomcat', 'JQuery', 'MySQL', 'Javascript', 'Bootstrap', 'Testing Concepts']|Any Graduate|MCA in Any Specialization|
425|iPhone Developer|Not Disclosed|0 - 5 years|"Job description

Skills: IOS, Objective C, Coccoa frame work, HTML5, CS6, AJAX, XML etc.

Apply with updates resume mentioning current ctc,expected ctc,notice period like details to

RoleMobile / App Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
IOS
iPhone DeveloperXMLHTML5CS6HTMLObjective CCocoa frameworkAJAXCocoa Touch
Skills highlighted with ‘‘ are preferred keyskills"|11 days ago||347|['IOS', 'iPhone Developer', 'XML', 'HTML5', 'HTML', 'Objective C', 'Cocoa framework', 'AJAX', 'Cocoa Touch']|BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization|Any Postgraduate|Doctorate Not Required
426|Laravel Developer|Not Disclosed|0 - 3 years|"Job description
  Required skills:
Expertise in using Laravel to design and implement a responsive website from conceptualization to the finished deliverable.
Strong knowledge of PHP5, MySQL, HTML5, CSS3, Bootstrap, JSON, Javascript, Ajax, JQuery, Responsive Design, Data Structures.
Strong debugging and problem solving skills
Ability to work in a collaborative team environment
Excellent organization and communication skills, both verbal and written
Good to Have:
Hands on knowledge with using any frontend Javascript framework like AngularJS or ReactJS
Working knowledge of using Laravel with JSON/REST/XML/SOAP Web Services
Familiarity with hosting solutions like Forge, working with cloud hosting environments like AWS EC2, Google or Azure Cloud
Working knowledge of using Git and Git Workflow
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
jQueryXMLMySQLDebuggingJavascriptData structuresWorkflowJSONAjaxCSS3"|30+ days ago|1|255|['jQuery', 'XML', 'MySQL', 'Debugging', 'Javascript', 'Data structures', 'Workflow', 'JSON', 'Ajax', 'CSS3']|Any Graduate|Post Graduation Not Required|
427|PHP Developer|Not Disclosed|0 - 3 years|"Job description
 
Skill Set:
Good Computer Basic Skills (Operating System, Networking, Algorithms, OOPs, etc)
Frontend HTML, CSS, Bootstrap, JavaScript, JSON, jQuery
Backend PHP
DB Skills MySQL, MariaDB
API Dev: REST, JSON, SOAP, etc.
Good understanding of software development platforms and SDLC.
Qualifications:
Educational Qualification: B.E./M.E./B.Tech/M.Tech/MCS/MCA
Experience 0 to 3 Years
RoleBack End Developer
Industry TypeTelecom / ISP
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
WirelessjQueryNetworkingMySQLJavascriptPHPHTMLJSONciscoSDLC"|30+ days ago|1|433|['Wireless', 'jQuery', 'Networking', 'MySQL', 'Javascript', 'PHP', 'HTML', 'JSON', 'cisco', 'SDLC']|Any Graduate|Post Graduation Not Required|
428|Java Developer|Not Disclosed|0 - 2 years|"Job description
Java Developer Openings: 4

Experience: 0-2years Apply



Openings: 0

We are looking for a Java developer responsible for building Java applications. This includes anything between complex groups of back-end services and their client-end (desktop and mobile) counterparts. Your primary responsibility will be to design and develop these applications, and to coordinate with the rest of the team working on different layers of the infrastructure. Thus, a commitment to collaborative problem solving, sophisticated design, and product quality is essential.



Responsibilities:

Translate application storyboards and use cases into functional applications and Design, build, and maintain efficient, reusable, and reliable Java code. Ensure the best possible performance, quality, and responsiveness of the applications and Identify bottlenecks and bugs, and devise solutions to these problems. Help maintain code quality, organization, and automatization.

Skills Required:

Proficient in Java, with a good knowledge of its ecosystems and Solid understanding of object-oriented programming. Familiar with various design and architectural patterns and Skill for writing reusable Java libraries. Knowledge of concurrency patterns in Java and Familiarity with concepts of MVC, JDBC, and RESTful. Experience with popular web application frameworks, such as Play and Spark and Familiarity with Java GUI frameworks {{such as Swing, SWT, and AWT depending on project requirements}}. Knack for writing clean, readable Java code and Experience with both external and embedded databases. Understanding fundamental design principles behind a scalable application and Basic understanding of the class loading mechanism in Java. Creating database schemas that represent and support business processes and Basic understanding of JVM, its limitations, weaknesses, and workarounds. Implementing automated testing platforms and unit tests and Proficient understanding of code versioning tools, such as Git.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
Product qualitySWTAutomation testingGITWeb applicationJDBCMVCObject oriented programmingAWT"|30+ days ago|1|564|['Product quality', 'SWT', 'Automation testing', 'GIT', 'Web application', 'JDBC', 'MVC', 'Object oriented programming', 'AWT']|B.Tech/B.E. in Computers|Post Graduation Not Required|
429|Dot Net Developer|₹ 2,50,000 - 3,00,000 P.A.|0 - 1 years|"Job description
Designation - Software Developer (.Net)

Experience - 0 to 1 Year

Qualification - BE-IT-CS/ B Tech/MSC-CS/MCA/BCA/BCS

Skills - Language - C# / VB.Net / ASP.Net , OOPs

Database - SQL server / MySql / Microsoft Access
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :BCA in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization
PG :MCA in Any Specialization
Key Skills
C#VB.NETOOPS
Fullstack DevelopmentASP.NetSQL Server
Skills highlighted with ‘‘ are preferred keyskills"|13 days ago|2|609|['C#', 'VB.NET', 'OOPS', 'ASP.Net', 'SQL Server']|BCA in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization|MCA in Any Specialization|
430|JAVA Developer|Not Disclosed|0 - 2 years|"Job description
0- 2 years development experience in the Java ecosystem. Good knowledge of J2EE and solid Java programming skills. Experience with object- oriented design methodology and familiar with design patterns. Experience working in the domain of security software. Excellent problem- solving and troubleshooting skills. Knowledge of virtualization technologies is desirable. Knowledge of Spring and Hibernate is desirable. Ability to learn and apply new technologies to improve and scale the product.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
Object oriented designHibernatedevelopmentjavasoliddesignProgrammingJ2EeTroubleshootingSpringVirtualization"|30+ days ago|1|4516|['Object oriented design', 'Hibernate', 'development', 'java', 'solid', 'design', 'Programming', 'J2Ee', 'Troubleshooting', 'Spring', 'Virtualization']|B.Tech/B.E. in Computers|Post Graduation Not Required|
431|WordPress Developer Intern|Not Disclosed|0 - 1 years|"Job description
Design, build and manage the website as per needs.
Designing of mockups for client presentation
Selection of right WordPress Themes and Plugins for Project Requirement
Develop WordPress theme customizations on new projects and existing client sites.
Customize WordPress functions, custom fields and develop on proprietary plugins for client specific applications
Optimize performance of website.
Security measures experience
Work with our team to modify and update existing WordPress themes
Provide input to help improve site architecture, layout, and content
Assist in optimizing website for increased opt-ins, better search rankings, and user engagement and retention
Test for cross-browser, cross-platform, and/or cross-device compatibility.
Interaction with a client for requirement gathering and co-ordination
Designing and implementing new features and functionality
Ensuring high-performance and availability, and managing all technical aspects of the CMS
Coordinating with co-developers and other related departments
Troubleshooting, Implementing and Resolving Web or Hosting related issue
Required skills:
In depth knowledge and experience of HTML, CSS, JavaScript , jQuery, PHP, Ajax, MySQL
Experience in converting designs into WordPress CMS
Must have experience in theme and plugin development, server integration
Have experience in multiple browser development, web usability, and interface design, Responsive web design
Desired Candidate Profile
We are looking for graduates and freshers for the post of PHP, HTML, CSS, and WORDPRESS Intern
Technical degree in computer science/information technology or postgraduate degree in computer science.
Good at My SQL DBA, HTML/CSS JavaScript, JSON, JQuery and Ajax
Must be available for full time (in-office) internship
Must be available for duration of 6 months
Should be team player
Manage the work-load and plan the project accordingly
Should have capability to work in deadlines
Should be able to communicate with clients
RoleBack End Developer
Industry TypeAdvertising & Marketing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
jQueryMySQLWordpressJavascriptPHPHTMLJSONTroubleshootingInternshipAjax"|30+ days ago|1|1522|['jQuery', 'MySQL', 'Wordpress', 'Javascript', 'PHP', 'HTML', 'JSON', 'Troubleshooting', 'Internship', 'Ajax']|Any Graduate|Post Graduation Not Required|
432|eLearning Developer|Not Disclosed|0 - 1 years|"Job description
Were in search of eLearning developer to design and develop graphic based eLearning courses and digital assets on a project basis.
The ideal candidate will be experienced in instructional design, should have the required softwares to be able to design courses which render flawless customer service experience.
Role Profile
Discuss elearning and digital requirements with our clients
Create engaging learner journeys based on client requirements
Develop storyboards and concepts based on ideas
Write effective and engaging copy for written, audio and video scripts
Design effective elearning solutions
Manage end to end elearning projects
Support in the distribution of our content to joint venture partners and third party vendors
Assist in the management of our learning platform
Benefits
Competitive project fee + annual bonus
Training and development opportunities
A team that works hard and has fun Submission Instructions
RoleBack End Developer
Industry TypeManagement Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
E-learningCustomer service trainingInstructional designCustomer serviceTraining and DevelopmentManagement"|30+ days ago|1|148|['E-learning', 'Customer service training', 'Instructional design', 'Customer service', 'Training and Development', 'Management']|Any Graduate|Post Graduation Not Required|
433|Java Developer|Not Disclosed|0 - 1 years|"Job description
Hands-on development experience with OOP in Core java, J2EE (1.6+) and Spring MVC, Hibernate, MySQL DB.
Other skills: Strong Analytical, problem solving and good communication, able to work independently, Adaptable to new technologies.
RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :BCA in Any Specialization, B.Tech/B.E. in Any Specialization
PG :MCA in Computers
Key Skills
JavaCore JavaSpring MvcOOPSMySQL Database Administration
HibernateJ2Ee
Skills highlighted with ‘‘ are preferred keyskills"|1 day ago|3|6886|['Java', 'Core Java', 'Spring Mvc', 'OOPS', 'MySQL Database Administration', 'Hibernate', 'J2Ee']|BCA in Any Specialization, B.Tech/B.E. in Any Specialization|MCA in Computers|
434|Web Developer|Not Disclosed|0 - 2 years|"Job description
Web Developer - 1 Position

Job brief

We are looking for an outstanding Web Developer to be responsible for the coding, innovative design and layout of our website.

Responsibilities

Proven working experience in web programming

Top-notch programming skills and in-depth knowledge of modern HTML/CSS

Familiarity with the following programming languages: PHP, Javascript, Jquery

A solid understanding of how web applications work including security, session management, and best development practices

Adequate knowledge of relational database systems, Object Oriented Programming and web application development

Basic knowledge of Search Engine Optimisation process

Aggressive problem diagnosis and creative problem solving skills

Strong organisational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen

Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.

Requirements

Degree in Computer Science, Engineering.

Proven development skills

Proven working experience in Web application development

Solid understanding of the development life cycle.

Exp

0-2 Years
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Web application developmentdevelopmentsolidHTMLSearch engine optimizationComputer sciencelayoutdatabasejQueryapplicationCodingwebdesignJavascriptPHPdeveloperAndroid SDKObject oriented programmingprogrammingapplications"|30+ days ago|1|2640|['Web application development', 'development', 'solid', 'HTML', 'Search engine optimization', 'Computer science', 'layout', 'database', 'jQuery', 'application', 'Coding', 'web', 'design', 'Javascript', 'PHP', 'developer', 'Android SDK', 'Object oriented programming', 'programming', 'applications']|Any Graduate|Post Graduation Not Required|
435|Node . js Developer|Not Disclosed|0 - 2 years|"Job description

Job Description
We are looking for a versatile JavaScript developer who is proficient with NodeJS.
Primary focus will be on developing high performance, scalable, well documented backend applications.
You will ensure that system components and the overall application are robust and easy to maintain.
You will coordinate with the rest of the team working on different layers of the infrastructure.
Commitment to collaborative problem solving, sophisticated design, and quality product is important.
Responsibilities
Developing end to end applications, RESTFul backend with NodeJS.
Building reusable components and back-end libraries for future use.
Optimising system components for maximum performance and scalability.
You will love this job if you are:
A technology addict who has a plan to stay ahead of the curve
A problem solver who jumpstarts at work to resolve issues
A continuous learner who wants to make a difference with innovation
Skills
Having 0.6 to 2 years of IT experience on Core web fundamentals: HTML, JavaScript, and CSS
BE/B.Tech from IIT, NIT, BITS Pilani, COEP (Pune), VJTI, IIT-BHU or ISM.
Skills in one or more chosen frameworks/libraries like Express, Total, AdonisJS.
Understanding and experience in using data storage technologies like relational databases e.g. MySQL, Postgresql and nosql databases e.g. MongoDB, DynamoDB.
Through understanding of NodeJS and its core modules like File System, VM, REPL, Debugger, Crypto.
Exposure of with ES6/ES7 and RESTful APIs.
Knowledge of modern authorization mechanisms, such as JSON Web Token.
Experience with common development tools such as Babel, Webpack, NPM, Gulp, Grunt etc.
Ability to understand business requirements and translate them into technical requirements.
Expert understanding of code versioning tools, such as Git.
Good knowledge on Semantic Versioning.
Good to have knowledge of Typescript.
RoleFull Stack Developer
Industry TypeSoftware Product
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Production/Industrial
PG :Any Postgraduate
Key Skills
Product qualityHTML;JavascriptBackendGITNoSQLWeb technologiesPostgresqlMySQLJSONMongoDB"|16 days ago|1|326|['Product quality', 'Backend', 'GIT', 'NoSQL', 'Web technologies', 'Postgresql', 'MySQL', 'JSON', 'MongoDB']|B.Tech/B.E. in Production/Industrial|Any Postgraduate|
436|Web Developer|Not Disclosed|0 - 4 years|"Job description
Web Developer (Experience: 0- 4 Years) , Job Location: Pune
Qualification : BE (Computer / IT)
Skills Sets like ASP. Net 2. 0, Crystal Report, SQL, MS Access
Good Analytical Skills
Apply Now
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
Analytical skillsWeb technologiesMS AccessIT skillsASP.NetBusiness ExecutiveCrystal reportSQL"|30+ days ago|1|409|['Analytical skills', 'Web technologies', 'MS Access', 'IT skills', 'ASP.Net', 'Business Executive', 'Crystal report', 'SQL']|B.Tech/B.E. in Computers|M.Tech in Computers|
437|IPhone Developer Junior:|Not Disclosed|0 - 2 years|"Job description
Urgently IPhone developer with 0- 2 Yrs of experience on developing IPhone aplications.

Detailed Description: Understanding requirement and developing application using challenging technology such as Objective - c, cocoaframework, XCode, SDK, Json, Interface builder, SQLite, MAC OS iPhone programming. Internal testing and deployment on iPhone cell.

Responsibilities will include Research, analysis, design, development, testing and deployment of the product.

Experience- 0 to 2yrs.

No. of Openings- 10

Key Skills: Objective - c, cocoaframework, XCode, SDK, Json, Interface builder, SQLite, MAC OS iPhone programming

RoleBack End Developer
Industry TypeBPO / Call Centre
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Any Postgraduate
Key Skills
Cdevelopment testingSQLiteDesign developmentProgrammingManager TechnologyJSONSDKMac OsResearch analysis"|30+ days ago|1|150|['C', 'development testing', 'SQLite', 'Design development', 'Programming', 'JSON', 'SDK', 'Mac Os', 'Research analysis']|B.Tech/B.E. in Computers|Any Postgraduate|
438|PHP Developer|Not Disclosed|0 - 2 years|"Job description

Any Graduates Languages known: Marathi, English, Hindi Computer and Internet Knowledge Fresher's are also preferred Any short term diploma computer courses will be added advantage No. of Job Positions: Skills:
Knowledge of PHP, MySQL, HTML, Wordpress, CSS and JavaScript
0 - 2 years
As Per Industry Standard Walk-in Interviews:
Job Description:
0 to 2 years of experience in developing web applications using PHP, MySQL, HTML, CSS and JavaScript. Should have good knowledge and understanding of Software Development Life Cycle.Hands-on experience in any PHP based framework Mail us at
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Diploma in Mechanical
PG :Post Graduation Not Required
Key Skills
CSSdevelopmentsoftwaredevelopingHTMLBusiness ExecutiveEnglishWeb technologieswebMySQLWordpressJavascriptSoftware development life cyclePHPapplications"|30+ days ago|1|1821|['CSS', 'development', 'software', 'developing', 'HTML', 'Business Executive', 'English', 'Web technologies', 'web', 'MySQL', 'Wordpress', 'Javascript', 'Software development life cycle', 'PHP', 'applications']|Diploma in Mechanical|Post Graduation Not Required|
439|RPA Developer|Not Disclosed|0 - 1 years|"Job description
Requirements
Minimum 3+ Years of experience as RPA Developer.
Hands on development experience in market leading RPA platform - UI Path.
Experience in RPA implementation for customers
Analytical skills to solve implementation issues and move forward with RPA bot creation
Conversion of business requirements into highly qualified automation solution, following best governed standards and practices
Experience in configuring and deploying RPA solutions across environments
Experience in identifying the root cause of RPA defects and provide timely resolution
Assists with creation of the automation architectures
Design, Develop and test the automation workflows in RPA platform and scripting languages
Creates RPA automation as per best practices
Experience in standard design patterns in business process modelling
Responsibilities
Design, code, test automation workflows using UiPath
Verifying and leveraging appropriate UiPath components
Provide solution design's to customers throughout the deployment of new deals, during POCs and project implementation phase.
Make changes to the robot code during implementation as needed
Develop workflows and custom activities using Vb .Net/C#
Responsible for the overall testing cycles.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Rpa DeveloperVb .Net/C#"|30+ days ago|1|561|[]|Any Graduate|Any Postgraduate|
440|Junior Frontend Developer|Not Disclosed|0 - 2 years|"Job description
Work within a company with a solid track record of success
Excellent career development opportunities
Flexible working options

We are hiring for a company which specialises in providing innovative solutions to various IT sectors including small and large scale industries.

The Job
Key responsibilities areas:

Writing well-designed, testable and efficient code.
Gathering and evaluating user feedback.
Working as a part of a dynamic team to deliver winning products.
Providing code documentation and other inputs to technical documents.
Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.
Troubleshooting and debugging to optimise performance.
Escalating technical issues to the relevant parties when needed and following up till the issues are closed.
Ensuring all standards and procedures are followed and maintained.
Answering queries and resolving issue relating to usage of standard applications and IT services.
Providing monthly help desk reports.

Ideal Candidate
Key Competencies:

You possess a Degree/Diploma in Computer Science, Engineering or related field.
You have at least 1 year experience, ideally within a Software Engineer, Helpdesk / Technical Support or Service Management role.
You have excellent communication and interpersonal skills.
You possess strong knowledge of .NET, AngularJS, Bootstrap, C#, C, C++, HTML, Java, Javascript, Other Language, Python, PL / SQL and SQL.
Good knowledge of MySQL databases.
You pay strong attention to detail and deliver work that is of a high standard
You enjoy finding creative solutions to problems
You possess strong analytical skills and are comfortable dealing with numerical data

Ref: XY3D1CH0B0
RoleFront End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Temporary/Contractual
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
front end
c#javac.nethtmlbootstrapjavascript
Skills highlighted with ‘‘ are preferred keyskills"|17 days ago|1|520|['front end', 'c#', 'java', 'c', '.net', 'html', 'bootstrap', 'javascript']|Any Graduate|Any Postgraduate|
