|position|salary|experience|job_desc|Posted:|Job Applicants:|key_skills|UG :|PG :|Openings:|Doctorate :
373|Azure Data Engineer|₹ 4,50,000 - 9,50,000 P.A.|0 - 3 years|"Job description
Roles and Responsibilities
Working along with architects for planning, designing, integrating, and implementing complex solutions in Azure Cloud computing services
End to end development lifecycle of complex large-scale and multi-user applications
Implement Azure Cloud data warehouses, Azure and No-SQL databases and hybrid data scenarios
Big Data ETL considering enterprise data management for data lakes and data warehouses
Data Orchestration -Data Transformation and Data integration using MS Azure services
Develop batch processing, streaming and integration solutions
Automate Azure Data Factory pipelines
Manage and enforce data policies and standards
Monitor databases and data processing for a specified scenario
Implement big data real-time processing and integration solutions
Manage Azure DevOps pipelines

Basic Qualifications:
Education: B.E./M.Sc./M.E./M. Tech.
0-3 yrs of experience in Azure Data Engineering

Knowledge & Skills:
Very strong @ SQL-PL SQL-Spark SQL Scala PySpark
Interaction with No SQL Databases
Interaction with Event Hub, IoT Hub Databases
Files Processing XML, CSV, Excel, Jason, etc. Formats
Structured and Non-Structured Data processing
Data ETL Capabilities
Knowledge of Distributed Big Data Processing
Data Warehouse and Data Lake Implementation experience in past
Interaction with REST APIs , Web Services

Required Competencies:
Customer Focus
Good verbal & written English communication
Ability to work with globally diverse teams
Readiness to work in flexible work timings
Abstract & Analytical Thinking
An interpersonal savvy. A very good team player
Nimble learning. Willingness to explore and adapt

Certifications:
MS Azure Data Engineer (MS Certified) is preferred


RoleData Engineer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization
Key Skills
Microsoft Azure DataBricksSQLMicrosoft Azure Data FactoryADLSPython
Azure Data EngineringPower BiContinuous Integration And Continuous DeliveryAzure Sql DatabaseAzure Logic AppsAzure SynapseSCALAAzure Devops
Skills highlighted with ‘‘ are preferred keyskills"|12 days ago|7216|['SQL', 'ADLS', 'Python', 'Power Bi', 'SCALA']|B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization|||
374|Process Data Engineer|Not Disclosed|0 - 2 years|"Job description
The Role
The new SEAM organization integrates Safety, Environment & Asset Management activities, with a broad geographical footprint, that will support Shell’s business & assets around the world.
The vision of SEAM is to provide capability across the spectrum of Safety, Environment and Asset Management with:
shaping the future ways of working through introducing to the business new technology and news way of working, including e.g. digital, SBO, and real-time, data-driven, end-to-end optimization and risk management, but also global programmes like Human Performance Based Safety Philosophy.
providing performance feedback driving disciplined execution to deliver reliable, predictable results
helping the businesses build their improvement plans and provide support to execute them
sustaining performance through strong core capabilities (internal, including SBO & contingent) through building expertise and a company-wide consistent approach
Purpose of this role is to provide technical support for various data management activities especially in the Subsurface discipline. This role is expected to have more focus on subsurface data (specific to well data, well logs and well documents; core data etc. to and within corporate and project databases.
The Operations Lead Technical Reporting will be part of the VP TAO organization
The VP TAO will be accountable for maximizing integrated business value across the organization. Technical Asset Operations (TAO) is a key enabler for the accelerated delivery of Shell’s Asset Management System (AMS) and will help us to reach our ultimate potential in Downstream Manufacturing, Integrated Gas and Upstream. TAO provides high quality and cost-competitive technical resources who are not physically present at site yet are an integral part of asset teams delivering value through end-to-end AMS work processes.
Purpose & Accountabilities
Operational support: loading/managing subsurface data (well data, well logs and well documents; core data; to and within corporate and project databases
Responding to the Subsurface & Wells data team / end-user requests e.g. resolving data quality issues through proactive daily monitoring of IQM queries, reactive identification of data issues or provision of data sets to the government.
Participation in the elements of Data Projects where execution can be performed in a back office / centre of excellence– e.g. data migration to align with new / global standards.
Driving data quality improvement through interaction with local data analysts / consultants
Highlight and resolve challenges / issues identified during the data intake and loading phase
Dimensions
Full time equivalent
Skills & Requirements
Strong aptitude for Learner Mindset
B.Tech/B.E in Geosciences / Petroleum Engineering / Geophysics/ Computer Engineering with specialization in Upstream/Oil & Gas
Experience:Freshers/1-2 years of relevant experience in any one of the area - subsurface disciplines, technical data management.
Relevant academic & project experience in a similar role/organization
Knowledge / Skills in managing data types such as Wells, Logs, Seismic
Ability to connect and verify the consistency and correctness of the data across multiple data sources
Digital skills like Python, Linux, SQL and PowerBi not required but will be an advantage
Behavioural Competences:
Learner Mindset
Flexibility to move quickly across changing priorities and manage multiple Projects/Programmes
Ability to independently, resourcefully, and creatively research and implement new solutions
A good understanding of the oil and gas business and how it works.
Ability to engage and effectively communicate at all levels
Strong interpersonal skills, ability to challenge and ability to build internal and external relationships based on trust and to integrate across multiple functions.
Continuous Improvement
RoleProcess Engineer
Industry TypePetrochemical / Plastics / Rubber
Functional AreaProduction, Manufacturing & Engineering
Employment TypeFull Time, Permanent
Role CategoryEngineering
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
technical data management
LinuxPowerBiAsset Management SystemSeismicLogsWellsTechnical Asset OperationsPythonSQL
Skills highlighted with ‘‘ are preferred keyskills"|3 days ago|352|['Linux', 'Python', 'SQL']|Any Graduate|Any Postgraduate||
375|Data Analytics - Intern|Not Disclosed|0 - 1 years|"Job description
What you ll do at Merkle|Sokrati?
Use statistical methods to analyze data and generate useful business reports
Analyze client data using EDA and provide actionable insights to improve processes and present them successfully to management using a reporting tool.
Use data to create AI&ML models to solve complex business problems
Provide support for ad hoc requests from the Business Users
Provide support for Analytics Processes monitoring and troubleshooting.
Identify, evaluate and implement external services and tools to support data validation and cleansing
Liaise with internal and external clients to fully understand data content
Gather, understand and document detailed business requirements using appropriate tools and techniques
Support in creating PowerPoints, reports, dashboards and models
Independently determine the appropriate approach for new assignments
Complete a variety of atypical assignments
Solve a range of straight forward problems
Builds knowledge of the organization, processes and customers
What s on Offer:
An opportunity to work with one of India s most promising companies in a genuine growth hacking role
Unparalleled learning opportunities in the company of ridiculously smart folks with very high levels of expertise in their respective functions
Fantastically transparent, vibrant and positive work culture


What we are looking for?
Someone who is inquisitive and has great problem-solving skills.
Core data science/analytics knwolege.
Hands-on experience of building statistical models like regression, decision tree, random forests and other AI/ML models is a must
Experience using R, Python, SAS is mandatory.
Ability to write SQL queries, doing cohort analysis, comparative analysis etc.
Ability to lead own projects and work independently once given a direction.
Experience working directly with business users to build reports, dashboards and solving business questions with data.
Experience of working on visualization tools (Tableau/Power BI etc.)
Understanding about GA360/Adobe/Datorama/CDP/DMP etc.
RoleBack End Developer
Industry TypeAdvertising & Marketing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Data validationInternSASData analyticsTroubleshootingAdobeDigital marketingAnalyticsMonitoringPython"|30+ days ago|1252|['Data validation', 'SAS', 'Data analytics', 'Troubleshooting', 'Adobe', 'Digital marketing', 'Analytics', 'Monitoring', 'Python']|Any Graduate|Post Graduation Not Required|1|
376|Senior Software Engineer - OneOps|Not Disclosed|0 - 3 years|"Job description
  As the Senior Software Engineer for the OneOps product, be part of core product development and ensure product excellence.
Adopt strong Software Engineering principles and effective agile methodology practices for development focusing on quality and on time delivery
Collaborate effectively with the global engineering team and stay engaged through the entire development cycle
Take opportunities to evangelize the platform across IDC customer base and understand customer needs to make the platform more developer friendly
Be self-driven, self-motivated, comfortable with aggressive deadlines and getting your team to execute on fast iteration cycles.
Qualifications
MUST HAVE
Bachelors Degree in Computer Science; 6 years of related experience
Experience in Software Development principles and Operations Excellence
. Experience in automation (Python)
. Experience in RHEL/CentOS and Ubuntu operating systems
. Cloud experience in supporting OpenStack and Azure infrastructure
. Excellent Linux troubleshooting skills
. Experience in supporting core infrastructural components like operating systems, storage, DNS, load balancers, certificates
. Experience in shell scripting.
Product mindset strong analytical/problem solving skills
Be self-driven, self-motivated, comfortable with aggressive deadlines
Teamwork Collaboration
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer scienceJMSAutomationRDBMSMySQLShell scriptingDNSWorkflowOraclePython"|30+ days ago|383|['Computer science', 'JMS', 'Automation', 'RDBMS', 'MySQL', 'Shell scripting', 'DNS', 'Workflow', 'Oracle', 'Python']|Any Graduate|Any Postgraduate|1|
377|Sr. Software Developer - Laravel and Angular|Not Disclosed|0 - 3 years|"Job description
Job Role & Responsibilities:
Responsibilities and Duties:
You will work on huge Laravel/Angular web applications
Managing & mentoring a team
Ability to deliver projects/sprints on time
Obsessed with quality: Design reviews, code reviews, testing (system/performance)
Spending at least 70% time with hands-on coding while doing the above Programming
Together with your colleagues and product team you will analyse requirements and envision a qualitative solution
You will be responsible for the entire development - from architecture to implementation - and deliver performant and well-tested web applications and APIs
Keep up-to-date with the latest technologies and trends
Own end to end responsibility
Technical Knowledge and Skills:
Technical Knowledge and Skills:
You ve done web development for 3 years with an MVC-type PHP framework.
Should have good level knowledge of PHP Laravel and its ecosystem
You can make a solid relational data model and have a deep knowledge of SQL and MySQL
Thorough understanding of front-end technologies like Angular, Type scripting, HTML5, CSS3, JavaScript/jQuery, Bootstrap
 
Should have experience in publishing and consuming Services using REST API
Should have strong debugging skills on Developer Tools of the browser
Should have experience in Response/Adaptive Web Design for desktop, tablet, and mobile
Good understanding of one no-SQL
Comfortable producing and refactoring code without assistance
Understands different major language paradigms (object oriented / functional /reactive)
Can reason about complexity of algorithms (time and space)
You know the cost of HTTP requests and are always looking for ways to improve the performance of the product across devices
Familiarity with limitations of PHP as a platform and its workarounds.
Basic CI/CD and DevOps
Experience with AWS will be preferred
Exposure to async programming concepts
1. You write clean code and are a pragmatic programmer
RoleBack End Developer
Industry TypeRecruitment / Staffing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
jQueryCodingMySQLWeb developmentJavascriptPHPWeb designingHTTPMVCSQL"|30+ days ago|1232|['jQuery', 'Coding', 'MySQL', 'Web development', 'Javascript', 'PHP', 'Web designing', 'HTTP', 'MVC', 'SQL']|Any Graduate|Post Graduation Not Required|1|
378|Full Stack Developer ( Windows / Linux based Web Apps)|Not Disclosed|0 - 2 years|"Job description
API Development, REST API development, MS-SQL database , MicroSoft Code Studio tools, Angular JS, OOPs concept, Native and web apps Apache / Linux based XAMPP , HTML, CSS , PHP, My SQL, Security, JWT based implementation
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :BCA in Computers, B.Tech/B.E. in Computers
PG :MCA in Computers, M.Tech in Computers, MS/M.Sc(Science) in Computers
Key Skills
Angular JS
OOPs conceptREST APICSSMS SQLMicroSoft Code Studio toolsJWT based implementationPHPHTMLSecurityMS-SQL database
Skills highlighted with ‘‘ are preferred keyskills"|4 days ago|526|['OOPs concept', 'CSS', 'MS SQL', 'PHP', 'HTML', 'Security']|BCA in Computers, B.Tech/B.E. in Computers|MCA in Computers, M.Tech in Computers, MS/M.Sc(Science) in Computers|2|
379|Software Support Engineer|Not Disclosed|0 - 4 years|"Job description
Software Developer is a professional who is charged with designing and coding software for businesses and consumers alike. They work closely with client and handling They must have critical thinking skills, as well as strong problem-solving abilities
RoleConfiguration and Deployment Management
Industry TypeSoftware Product
Functional AreaIT & Information Security
Employment TypeFull Time, Permanent
Role CategoryIT Infrastructure Services
Education
UG :Any Graduate
Key Skills
HTMLJavaScript
AngularjsJavaC++CSSCsoftware testing.Php Back-End DevelopmentManual TestingjqueryspringAutomation ToolsMySQLJQuery MobileUI Development.netPHPStrutsfull StackWeb DevelopmentJangonot GSPython
Skills highlighted with ‘‘ are preferred keyskills"|14 days ago|3894|['HTML', 'JavaScript', 'Angularjs', 'Java', 'C++', 'CSS', 'C', 'software testing.', 'Manual Testing', 'jquery', 'spring', 'Automation Tools', 'MySQL', 'JQuery Mobile', 'UI Development', '.net', 'PHP', 'Struts', 'Web Development', 'Python']|Any Graduate||2|
380|Associate Software Engineer (Full Stack)|Not Disclosed|0 - 2 years|"Job description
Responsibilities
Work with product teams to understand product requirements/user needs; ask relevant questions to get clarity on how the end-users are going to use the system and understand acceptance criteria.
Take ownership of developing user stories (requirements) and associated tasks.
Analyze the requirements and provide estimates for stories in the scope
Develop good quality code using published best practices
Work as part of a team to achieve sprint and release goals
Participate in a daily scrum to provide a plan for upcoming tasks and ask for help for any roadblocks, Keep the JIRA board updated.
Work with Leads in creating documentation deliverables at each stage
Help customer success teams resolve technical issues including software system design and maintenance.
Ensure compliance with processes defined at the organization level to meet quality goals set at the product level
Stay up-to-date on product and process training required to create quality deliverables at each phase of product life-cycle
Required Skills and Experience
Strong computer science fundamentals (OO programming, algorithms, data structures, databases).
Technical skills: Java, Spring Boot, JPA/Hibernate, JavaScript
Good communication (written and verbal) skills
Good understanding of SQL and No-SQL Databases
Hands-on experience working with the basics of Linux, Shell Scripting.
Total years of experience: 0 to 2 years.
Preferred Experience
Full-Stack Software Development experience in both front-end and back-end technologies.
Knowledge of Test Driven Development processes
Hands-on experience with MongoDB
Hands-on experience with the structure and usage of REST APIs
Experience with Docker and anyone Container Orchestration Platforms like EKS, ECS, EKR, Kubernetes, Docker Swarm.
Experience with any Cloud Platform like AWS, GCP, or Azure.
Experience with at least one dynamically typed language (Python, Node.js, Groovy).
Education
Bachelor or Master of Science degree in Computer Science or equivalent from a reputed college.
RoleBack End Developer
Industry TypeEducation / Training
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :MS/M.Sc(Science) in Chemistry
Key Skills
JavaRestSoftware DevelopmentShell ScriptingData StructuresJavascriptSpring BootAwsTest Driven DevelopmentPython"|30+ days ago|1115|['Java', 'Rest', 'Software Development', 'Shell Scripting', 'Data Structures', 'Javascript', 'Spring Boot', 'Aws', 'Test Driven Development', 'Python']|Any Graduate|MS/M.Sc(Science) in Chemistry|1|
381|Program Developer|Not Disclosed|0 - 3 years|"Job description
Provides application software development services or technical support in relatively straightforward projects.
Understands and follows the Software Development Life Cycle.
Prepares and executes test plan and test data and records test results.
According to standard procedures writes new programs, working with basic application system designs and specifications and utilizing standard procedures and techniques.
May create database queries used to retrieve data from data warehouse and performs data calculations, consolidation, and summarization.
May also work on front end development.
Creates additional logic leveraging standard report writer functions or application coding.
Formats report output according to standard procedures.
Designs and codes programs.
Creates test transactions and runs tests to find errors and revise programs as necessary.
Documents installation and operating procedures.
Independently codes and then interfaces with senior level developers/architects to code, test and implement application programs.
Proposes innovative, creative technology solutions.
Contributes to the achievement of team objectives.
Bachelors degree required.
Candidate is typically a recent college hire with a bachelors degree in computer science engineering or a related discipline.
0-3 years of experience in software development preferred.
Previous technology internship is a plus.
RoleBack End Developer
Industry TypeBanking
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer scienceFront endCodingSoftware development life cycleTest planningTechnology solutionsApplication softwareInternshipData warehousingTechnical support"|30+ days ago|494|['Computer science', 'Front end', 'Coding', 'Software development life cycle', 'Test planning', 'Technology solutions', 'Application software', 'Internship', 'Data warehousing', 'Technical support']|Any Graduate|Any Postgraduate|1|
382|Php Developer|Not Disclosed|0 - 2 years|"Job description
Good Knowledge PHP, HTML CSS JAVA Script My SQL & CMS )

Salary

1 Lac To 1 Lac 25 Thousand P.A.
RoleBack End Developer
Industry TypeIndustrial Equipment / Machinery
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :M.Tech in Computers
Key Skills
assembly languageSix SigmaPMPJavaScriptReal Time Operating Systems.NETHTMLOraclePythonSQL"|30+ days ago|19|['assembly language', 'Six Sigma', 'PMP', 'JavaScript', '.NET', 'HTML', 'Oracle', 'Python', 'SQL']|B.Tech/B.E. in Computers|M.Tech in Computers|1|
383|PHP developer|Not Disclosed|0 - 3 years|"Job description
Responsibilities

Integration of user-facing elements developed by front-end developers
Build efficient, testable, and reusable PHP modules
Solve complex performance problems and architectural challenges
Integration of data storage solutions may include databases, key-value stores, blob stores, etc.

Skills And Qualifications

Strong knowledge of PHP web frameworks {{such as Laravel, Codeigniter, etc depending on your technology stack.
Understanding the fully synchronous behavior of PHP
Understanding of MVC design patterns
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Knowledge of object oriented PHP programming
Understanding accessibility and security compliance {{Depending on the specific project}}
Strong knowledge of the common PHP or web server exploits and their solutions
Understanding fundamental design principles behind a scalable application
User authentication and authorization between multiple systems, servers, and environments
Integration of multiple data sources and databases into one system
Familiarity with limitations of PHP as a platform and its workarounds
Creating database schemas that represent and support business processes
Familiarity with SQL/NoSQL databases and their declarative query languages
Proficient understanding of code versioning tools, such as Git
RoleFull Stack Developer
Industry TypeRecruitment / Staffing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Production/Industrial, BCA in Computers, B.Sc in Chemistry
PG :Any Postgraduate
Key Skills
Core JavaFront endMySQLJavascriptPHPHTMLMVCSQLPythonCSS3"|30+ days ago|186|['Core Java', 'Front end', 'MySQL', 'Javascript', 'PHP', 'HTML', 'MVC', 'SQL', 'Python', 'CSS3']|B.Tech/B.E. in Production/Industrial, BCA in Computers, B.Sc in Chemistry|Any Postgraduate|1|
384|Web Developer|Not Disclosed|0 - 1 years|"Job description
SkillsThe Trainees will get opportunities to gain experience and to learn Web Development , Graphics Design tools.WebDesign / Development.. HTML / PHP / , Flash Websites , Illustrator / In Design , etc.ResponsibilitiesTo design and develop HTML / CSS / Bootstrap based websitesLocation: Marthanda
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :BCA in Computers, B.Sc in Computers, B.Tech/B.E. in Computers
PG :MCA in Computers, M.Tech in Computers
Key Skills
assembly languagedevelopmentcssCHTMLgraphicsbootstrapSQLSix SigmaPMPwebJavaScriptReal Time Operating Systemsdesign.NETphphtmlOraclePythonillustratorflash"|30+ days ago|442|['assembly language', 'development', 'css', 'C', 'HTML', 'graphics', 'bootstrap', 'SQL', 'Six Sigma', 'PMP', 'web', 'JavaScript', 'design', '.NET', 'php', 'html', 'Oracle', 'Python', 'illustrator', 'flash']|BCA in Computers, B.Sc in Computers, B.Tech/B.E. in Computers|MCA in Computers, M.Tech in Computers|1|
385|Dot Net Developer|Not Disclosed|0 - 1 years|"Job description
Requirements:

Good knowledge on C# VB .Net. Good Knowledge on SQL Server. 0- 1 yrs exp can apply.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
assembly languagec#JavaScriptReal Time Operating Systems.NETHTMLOraclevbPythonSQLsql"|30+ days ago|2090|['assembly language', 'c#', 'JavaScript', '.NET', 'HTML', 'Oracle', 'vb', 'Python', 'SQL', 'sql']|B.Tech/B.E. in Computers|Post Graduation Not Required|1|
386|BI Developer- Power BI,Pan India|Not Disclosed|0 - 7 years|"Job description
A successful resource would be someone with 7 years of experience who can work in a fast-paced business-focused environment
The BI Developer will participate in the design, development, and maintenance of end-to-end Business Intelligence solutions with Microsoft s BI Stack (Power BI, SSIS, SSRS, SSAS, Azure Analysis Services, Azure Synapse Analytics, etc.) on Azure
The role will involve working with both technical and business teams to understand KPIs and Metrics towards building reports and dashboards in Power BI
This position will require demonstrated proficiency in analytics, data collection, reporting best practices, and visualization tools
The Power BI Developer will prioritize work in alignment with business objectives and strategies as well as think like an entrepreneur when addressing various client challenges
Ability to ensure on-time project delivery to the client worked in an Agile Application Lifecycle Management framework, strong communicator, and ability to question the status quo
Required Qualifications
Overall 7 years of Information Technology experience
At least 3 years of experience working on Data and Advanced Analytics projects
Able to implement row-level security on data and understand application security layer models in Power BI
Able to integrate Power BI reports into other applications using Power BI embed service, or by API automation. Also, one must be experienced in developing custom visuals for Power BI
Produce actionable insights that will be used to support or devise new strategies
Facilitating consensus on business KPIs and metrics with clearly documented definitions and calculations
Presenting and training the metrics and KPIs to the business leaders
Collaborate with business process experts to understand how changes in process impact KPIs and metrics
Able to design complex data warehousing, advanced analytics, and business intelligence solutions. Design semantic layer, virtualization layer, and ensure the use of appropriate BI client tools
Expertise in designing, implementing, supporting, and documenting data architecture and data models (OLTP, consolidation stores, dimensional stores, Data Vault, and canonical) solutions towards building the right model in Power BI
Configure data intake using Power Query along with its formula language, M . And expertise using DAX
Able to develop a data semantic layer to be able to allow for a self-service model for our stakeholders.
Strong data analysis, data modeling, and SQL skills along with query optimization experience
Proficiency in at least one programming language, Java (or) Python preferred
Strong analytical and problem-solving skills
Good understanding of Software Engineering principles and best practices
Experience working in an Agile environment/team and usage of Azure DevOps for Application Lifecycle Management
Excellent communication skills with the ability to work in large teams and interact with both technical and business teams
Preferred Qualifications (nice to have)
Any exposure to AI/ML initiatives is an advantage
Experience implementing data governance policies and documenting data solutions to ensure lineage and metadata is cataloged
Any exposure to Cloud (AWS, GCP, or Azure) based Data services is an advantage
Any prior experience working with Azure Data Factory (or) SSIS for ETL jobs is an added advantage
Any prior working experience with Azure Synapse Analytics an
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
AutomationData modelingSSRSAgileSSISBusiness intelligencemicrosoftInformation technologySQLPython"|30+ days ago|2073|['Automation', 'Data modeling', 'SSRS', 'Agile', 'SSIS', 'Business intelligence', 'microsoft', 'Information technology', 'SQL', 'Python']|Any Graduate|Any Postgraduate|1|
387|PHP Developer|Not Disclosed|0 - 2 years|"Job description
Designation:- PHP Developer
Experience:- Fresher
Salary:- 10,000- 18,000 per month - negotiable depends on last ctc,
Gender: AnyS
Skills: 1. Core PHP, Codeingitor
2. Experience in core PHP, PHP, Python
RoleBack End Developer
Industry TypeRecruitment / Staffing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
Core PHPPython"|30+ days ago|166|['Core PHP', 'Python']|B.Tech/B.E. in Computers|Post Graduation Not Required|1|
388|Java Developer|Not Disclosed|0 - 3 years|"Job description
Java Developer (EXP:0- 3 yrs) Description Design, development and implementation of web based enterprise applications . Analyzes project specifications, designs logic, writes code, tests, debugs and documents software.
RoleBack End Developer
Industry TypeManagement Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
assembly languageSix SigmaPMPCJavaScriptReal Time Operating Systems.NETHTMLOraclePythonSQL"|30+ days ago|80|['assembly language', 'Six Sigma', 'PMP', 'C', 'JavaScript', '.NET', 'HTML', 'Oracle', 'Python', 'SQL']|B.Tech/B.E. in Computers|Post Graduation Not Required|1|
389|Jr. Front End Developer|Not Disclosed|0 - 2 years|"Job description
We re looking for an energetic, hands-on, reliable and collaborative Jr. Front End Developer to learn, contribute and work on development of visual design for our analytics and reporting portal in a junior role. The role also has immense long-term career growth.
The individual will participate in all aspects of the creative process from conceptualising to completion including design, development, presenting ideas, working with leadership to build on the InterProducTec brand values.
Responsibilities :
Research and experiment with libraries and frameworks to find the best components to make a growing JavaScript codebase easy to manage and a joy to work with.
Collaborate with leadership and technology on creative concepts, and then launch and shape the required design components for each presentation and/or production
Create maintainable and scalable JavaScript modules for our analytics and reporting portal
Create views optimized for both desktops and mobile devices
Primary Skills:
Must have B.E/B.Tech in Computers or IT
At least 0-2 years of experience working in Client side MVC (ReactJS preferred) Freshers may also apply.
Strong basics in Object Oriented JavaScript
HTML5/CSS3
JavaScript
Mobile/responsive design (Bootstrap)
Preferred Skills:
ReactJS
ECMAScript 6
HTML5/CSS3/Python/PhP/ Databases
Profiling
Awareness of web standards
Ability to present large, complex data sets intuitively to users
Familiarity with RESTful web API development
Revision Control Systems (git/mercurial)
Agile Software Development (SCRUM)
Query Mobile
RoleBack End Developer
Industry TypeBPO / Call Centre
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization
PG :Post Graduation Not Required
Key Skills
Front endjQueryJavascriptAgilePHPJSONScrumMVCAnalyticsPython"|30+ days ago|2226|['Front end', 'jQuery', 'Javascript', 'Agile', 'PHP', 'JSON', 'Scrum', 'MVC', 'Analytics', 'Python']|B.Tech/B.E. in Any Specialization|Post Graduation Not Required|1|
390|Intern - GIS Developer|Not Disclosed|0 - 1 years|"Job description

Immediate requirement for GIS Developer who has passion to Design, Develop and Deploy Desktop and web applications in GIS.
KEY RESPONSIBILITIES AND ACCOUNTABILITIES
Working experience in Microsoft .NET (desktop and web), Xmal Javascript, Python, Web Services, HTML, CSS, Arcobjects and working with API s is considered as an asset.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
GISCSSWeb servicesJavascriptDeploymentHTMLHRmicrosoftPython"|30+ days ago|1997|['GIS', 'CSS', 'Web services', 'Javascript', 'Deployment', 'HTML', 'HR', 'microsoft', 'Python']|Any Graduate|Post Graduation Not Required|1|
391|iPhone Developer|Not Disclosed|0 - 3 years|"Job description
Requirement for IOS developer having minimum 6 months of relevant experience (in iphone development)


Required skills
Working knowledge of iOS application development, Objective C, Cocoa Framework and XCode.
Good understanding in JSON API implementation.
Must have prior experience of mobile development.
Candidate should have great logical skills and problem solving ability.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
JAVACArchitectsHTMLiosJavaScriptdesign.NETjsonapiOraclePythonBusiness AnalystsdevelopmentmobileiphonecocoaSQLLead DevelopersSix SigmaPMPapplicationXMLSQL. AndroiddeveloperPL"|30+ days ago|107|['JAVA', 'C', 'Architects', 'HTML', 'ios', 'JavaScript', 'design', '.NET', 'json', 'api', 'Oracle', 'Python', 'Business Analysts', 'development', 'mobile', 'iphone', 'cocoa', 'SQL', 'Lead Developers', 'Six Sigma', 'PMP', 'application', 'XML', 'developer', 'PL']|B.Tech/B.E. in Computers|Post Graduation Not Required|1|
